"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 03.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inneprzypadkizachorowań"
"",1,bocheński,504,106 858,"47,17",30,406,61,3,130,19,240,0,12,23,0,0,31,0,0,46
"",2,brzeski,179,93 201,"19,21",2,156,19,3,35,50,12,2,2,0,0,0,0,21,0,54
"",3,chrzanowski,166,124 536,"13,33",4,94,68,1,40,12,7,0,16,0,0,0,8,0,0,82
"",4,dąbrowski,71,59 174,"12,00",1,52,18,2,40,4,0,0,0,0,0,0,0,0,0,25
"",5,gorlicki,180,108 886,"16,53",2,147,31,2,88,9,0,0,0,9,0,0,13,0,0,59
"",6,krakowski,673,279 239,"24,10",6,539,128,6,177,43,13,0,9,4,0,0,2,4,0,415
"",7,limanowski,836,131 764,"63,45 / 17,30",9,598,228,0,367,29,34,0,0,10,0,0,0,0,1,395
"",8,miechowski,107,48 818,"21,92",1,71,35,0,33,0,0,0,1,0,0,0,0,0,0,73
"",9,myślenicki,698,127 600,"54,70 / 19,75",1,445,252,0,228,28,22,0,73,11,0,0,2,0,0,334
"",10,nowosądecki,1 505,216 796,"69,42",24,1 284,197,7,945,81,64,1,292,23,0,0,20,0,0,72
"",11,nowotarski,1 066,191 782,"55,58 / 20,07",20,658,385,2,384,82,25,0,33,7,0,0,0,0,1,532
"",12,olkuski,194,111 217,"17,44",1,119,74,4,15,8,1,0,50,13,0,0,0,0,0,103
"",13,oświęcimski,492,153 486,"32,06",8,400,84,2,217,31,0,0,0,0,0,0,0,0,0,242
"",14,proszowicki,78,43 222,"18,05",3,45,30,2,8,9,27,0,0,0,0,0,0,0,0,32
"",15,suski,402,84 232,"47,73",4,332,66,2,162,5,0,0,60,7,0,0,19,0,0,147
"",16,tarnowski,338,201 497,"16,77",9,283,45,6,162,12,56,0,0,0,0,0,0,0,0,102
"",17,tatrzański,501,68 072,"73,60 / 23,65",6,332,161,2,179,41,39,0,38,26,0,0,0,0,0,176
"",18,wadowicki,499,160 006,"31,19 / 11,19",8,312,179,0,200,37,51,0,14,9,0,0,0,0,0,188
"",19,wielicki,392,129 136,"30,36",6,303,81,1,237,9,0,0,2,0,0,0,0,0,0,143
"",20,m. Kraków,2 502,779 115,"32,11",38,1 930,533,33,511,206,3,16,45,13,0,28,34,32,0,1 581
"",21,m. Nowy Sącz,580,83 794,"69,22 / 10,02",16,480,84,3,316,33,106,0,113,3,0,0,6,0,0,0
"",22,m. Tarnów,110,108 470,"10,14",1,85,24,8,22,8,0,0,0,0,0,0,0,0,0,72
"RazemMałopolska",12 073,3 410 901,"35,40",200,9 071,2 783,89,4 496,756,700,19,760,158,0,28,135,57,2,4 873,,
