"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 8.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,541,"50,63",30,425,78,3,136,24,240,0,12,23,0,0,31,0,0,72
"",2,brzeski,209,"22,42",2,156,49,3,37,64,13,2,2,0,0,0,0,21,0,67
"",3,chrzanowski,229,"18,39",4,106,119,1,40,24,25,2,16,0,0,0,8,0,0,113
"",4,dąbrowski,81,"13,69",1,56,24,2,42,4,0,0,0,0,0,0,0,0,0,33
"",5,gorlicki,199,"18,28",2,155,42,2,93,9,0,0,0,10,0,0,13,0,0,72
"",6,krakowski,744,"26,64",6,643,95,6,181,45,14,0,12,4,0,0,2,4,0,476
"",7,limanowski,909,"68,99 / 14,72",10,704,194,0,367,29,35,0,0,10,0,0,0,0,1,467
"",8,miechowski,138,"28,27 / 11,88",1,79,58,0,42,0,0,0,3,0,0,0,0,0,0,93
"",9,myślenicki,836,"65,52 / 27,19",2,487,347,0,244,29,24,0,76,16,0,0,2,0,0,445
"",10,nowosądecki,1 578,"72,79",28,1 345,205,7,981,90,64,1,311,29,0,0,20,0,0,75
"",11,nowotarski,1 180,"61,53 / 22,26",24,726,427,2,398,83,25,0,41,8,0,0,0,0,1,622
"",12,olkuski,236,"21,22",3,143,90,4,15,8,2,1,51,15,0,0,2,0,0,138
"",13,oświęcimski,558,"36,36",10,414,134,2,220,50,4,0,0,0,0,0,0,0,0,282
"",14,proszowicki,86,"19,90",3,58,25,2,8,9,27,0,0,0,0,0,0,0,0,40
"",15,suski,500,"59,36 / 15,67",7,361,132,2,163,5,27,0,70,11,0,0,19,0,0,203
"",16,tarnowski,368,"18,26",9,291,67,6,170,14,56,0,0,0,0,0,0,0,0,122
"",17,tatrzański,567,"83,29 / 28,94",10,357,197,2,182,51,39,0,40,37,0,0,0,0,0,216
"",18,wadowicki,548,"34,25 / 12,19",11,341,195,0,207,44,53,,18,14,0,0,0,0,0,212
"",19,wielicki,458,"35,47 / 11,07",7,306,143,1,249,11,0,0,5,2,0,0,0,0,0,190
"",20,m. Kraków,2 935,"37,67",41,2 447,446,33,528,210,4,17,55,13,0,36,34,32,0,1 973
"",21,m. Nowy Sącz,610,"72,80",18,530,62,3,334,37,106,0,116,5,0,0,7,0,0,2
"",22,m. Tarnów,138,"12,72",1,92,45,8,27,8,0,0,0,0,0,0,0,0,0,95
"RazemMałopolska",13 648,"40,01",230,10 222,3 174,89,4 664,848,758,23,828,197,0,36,138,57,2,6 008,,
