Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 28.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,338,106 858,"31,63 / 16,94",8,147,181,3,80,12,221,0,22
2,brzeski,72,93 201,"7,73",2,64,4,3,5,48,0,2,14
3,chrzanowski,39,124 536,"3,13",0,33,6,1,18,,,,20
4,dąbrowski,19,59 174,"3,21",0,12,7,2,16,1,0,0,0
5,gorlicki,32,108 886,"2,94",0,8,24,1,25,1,0,0,5
6,krakowski,104,279 239,"3,72",1,81,22,4,45,19,0,0,36
7,limanowski,210,131 764,"15,94",5,111,94,0,126,25,0,0,59
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,181,127 600,"14,18",0,154,27,0,99,18,0,0,64
10,nowosądecki,538,216 796,"24,82 / 21,73",1,66,471,7,531,0,0,0,0
11,nowotarski,59,191 782,"3,08",0,13,46,2,34,1,0,0,22
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,201,153 486,"13,10",4,91,106,2,96,14,0,0,89
14,proszowicki,17,43 222,"3,93",2,9,6,,2,5,1,,9
15,suski,218,84 232,"25,88",0,184,34,0,131,2,0,0,85
16,tarnowski,130,201 497,"6,45",3,96,31,6,85,2,23,0,14
17,tatrzański,121,68 072,"17,78 / 16,89",0,6,115,2,90,1,0,0,28
18,wadowicki,144,160 006,"9,00",3,30,111,0,106,4,0,0,34
19,wielicki,144,129 136,"11,15",5,121,17,1,131,9,0,0,3
20,m. Kraków,451,779 115,"5,79",19,309,123,27,137,100,0,0,187
21,m. Nowy Sącz,148,83 794,"17,66 / 12,89",1,39,108,3,144,1,0,0,0
22,m. Tarnów,23,108 470,"2,12",0,15,8,8,3,3,0,0,9
"RazemMałopolska",3 223,3 410 901,"9,45",54,1 613,1 551,73,1 915,271,245,2,717,
