"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 11.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,582,"54,46",30,444,100,3,142,31,240,0,13,23,0,0,31,0,0,99
"",2,brzeski,235,"25,21",2,161,70,3,37,66,13,2,2,0,0,0,0,21,0,91
"",3,chrzanowski,279,"22,40 / 12,77",5,115,159,1,40,25,25,2,16,0,0,0,8,0,0,162
"",4,dąbrowski,97,"16,39",2,60,35,2,49,4,0,0,1,0,0,0,0,0,0,41
"",5,gorlicki,243,"22,32",2,159,82,2,102,17,0,0,0,10,0,0,13,0,0,99
"",6,krakowski,835,"29,90",6,663,166,6,182,48,15,0,13,4,0,0,2,4,0,561
"",7,limanowski,1 026,"77,87 / 20,87",11,739,275,0,369,52,39,0,0,12,0,0,0,0,1,553
"",8,miechowski,183,"37,49 / 19,87",1,85,97,0,47,0,0,0,14,0,0,0,0,0,0,122
"",9,myślenicki,979,"76,72 / 31,50",2,575,402,0,248,42,24,0,80,18,0,0,2,0,0,565
"",10,nowosądecki,1 673,"77,17 / 12,73",31,1 366,276,7,1 043,96,64,1,321,38,0,0,20,0,0,83
"",11,nowotarski,1 317,"68,67 / 27,53",24,761,528,2,409,90,25,28,68,8,0,0,0,0,1,686
"",12,olkuski,314,"28,23 / 12,77",3,169,142,4,15,9,2,1,56,16,0,0,2,0,0,209
"",13,oświęcimski,632,"41,18 / 12,77",13,423,196,2,221,52,26,0,0,0,0,0,0,0,0,331
"",14,proszowicki,102,"23,60",3,64,35,2,8,10,27,0,0,0,0,0,0,0,0,55
"",15,suski,612,"72,66 / 27,42",8,372,231,2,174,13,69,7,71,19,0,0,19,0,0,238
"",16,tarnowski,415,"20,60",9,303,102,6,187,14,56,0,15,0,0,0,0,0,0,137
"",17,tatrzański,642,"94,31 / 33,64",10,400,229,2,181,74,41,0,41,45,0,0,0,0,0,258
"",18,wadowicki,633,"39,56 / 16,56",11,356,265,0,220,55,54,0,22,20,0,0,0,0,0,262
"",19,wielicki,513,"39,73 / 14,48",7,317,187,1,254,11,0,0,7,2,0,0,0,0,0,238
"",20,m. Kraków,3 532,"45,33 / 12,23",41,2 537,953,33,532,226,90,17,57,13,0,36,34,32,0,2 462
"",21,m. Nowy Sącz,658,"78,53 / 12,29",18,537,103,3,360,39,106,0,125,7,0,0,7,1,0,10
"",22,m. Tarnów,186,"17,15",1,100,85,8,43,17,0,0,5,0,0,0,0,0,0,113
"RazemMałopolska",15 688,"45,99 / 13,83",240,10 706,4 718,89,4 863,991,916,58,927,235,0,36,138,58,2,7 375,,
