"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 13.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,612,"57,27 / 11,98",30,446,128,3,145,32,240,0,13,23,0,0,31,0,0,125
"",2,brzeski,250,"26,82",2,163,83,3,37,66,13,2,2,0,0,0,0,21,0,106
"",3,chrzanowski,307,"24,65 / 14,94",5,116,186,1,40,26,25,2,16,4,0,0,8,0,0,185
"",4,dąbrowski,105,"17,74",4,63,38,2,51,4,0,0,1,0,0,0,0,0,0,47
"",5,gorlicki,290,"26,63 / 10,93",2,168,119,2,99,30,0,0,0,10,0,0,20,0,0,129
"",6,krakowski,1 004,"35,95 / 10,89",7,693,304,6,175,47,15,0,13,4,0,0,2,4,0,738
"",7,limanowski,1 109,"84,17 / 24,89",12,768,328,0,373,78,39,0,0,12,0,0,0,0,1,606
"",8,miechowski,206,"42,20 / 23,56",1,90,115,0,49,0,7,0,16,0,0,0,0,0,0,134
"",9,myślenicki,1 044,"81,82 / 36,52",3,575,466,0,252,42,27,0,85,21,0,0,2,0,0,615
"",10,nowosądecki,1 734,"79,98 / 15,04",35,1 373,326,7,1 077,100,64,1,330,48,0,0,20,0,0,87
"",11,nowotarski,1 403,"73,16 / 32,02",24,761,614,2,411,90,25,31,84,9,0,0,0,0,1,750
"",12,olkuski,347,"31,20 / 15,20",3,175,169,4,16,9,4,1,65,18,0,0,2,0,0,228
"",13,oświęcimski,654,"42,61 / 14,07",13,425,216,2,221,55,26,4,0,0,0,0,0,0,0,346
"",14,proszowicki,115,"26,61 / 10,64",3,66,46,2,8,10,27,0,3,0,0,0,0,0,0,65
"",15,suski,674,"80,02 / 32,17",8,394,271,2,184,13,69,7,71,23,0,0,19,0,0,286
"",16,tarnowski,439,"21,79",9,303,126,6,198,14,56,0,17,0,0,0,0,0,0,148
"",17,tatrzański,680,"99,89 / 36,14",11,420,246,2,181,81,41,0,43,50,0,0,0,0,0,282
"",18,wadowicki,688,"43,00 / 20,00",11,356,320,0,226,56,54,0,25,23,0,0,0,0,0,304
"",19,wielicki,537,"41,58 / 16,26",8,317,210,1,254,11,0,0,7,2,0,0,2,0,0,260
"",20,m. Kraków,4 187,"53,74 / 17,89",41,2 751,1 394,33,500,226,90,17,58,13,0,36,34,32,0,3 148
"",21,m. Nowy Sącz,680,"81,15 / 14,92",18,537,125,3,369,43,106,0,129,12,0,0,7,1,0,10
"",22,m. Tarnów,211,"19,45 / 10,14",1,100,110,8,53,17,0,0,9,0,0,0,0,0,0,124
"RazemMałopolska",17 276,"50,65 / 17,41",251,11 060,5 940,89,4 919,1 050,928,65,987,272,0,36,147,58,2,8 723,,
