Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 14.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,142,5,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,38,124 536,"3,05",0,31,7,1,19,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,15,108 886,"1,38",0,7,8,1,10,1,0,0,3
6,krakowski,94,279 239,"3,37",1,77,16,4,40,19,0,0,31
7,limanowski,172,131 764,"13,05",4,105,63,0,100,25,0,0,47
8,miechowski,14,48 818,"2,87",0,12,2,0,7,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,151,8,0,86,18,0,0,55
10,nowosądecki,258,216 796,"11,90 / 10,47",0,31,227,7,251,0,0,0,0
11,nowotarski,23,191 782,"1,20",0,12,11,2,10,1,0,0,10
12,olkuski,15,111 217,"1,35",0,11,4,1,0,5,0,0,9
13,oświęcimski,111,153 486,"7,23",4,78,29,2,50,13,0,0,46
14,proszowicki,11,43 222,"2,55",2,7,2,0,0,5,0,0,6
15,suski,198,84 232,"23,51",0,149,49,0,119,0,0,0,79
16,tarnowski,116,201 497,"5,76",3,60,53,3,85,2,22,0,4
17,tatrzański,35,68 072,"5,14",0,5,30,2,24,1,0,0,8
18,wadowicki,47,160 006,"2,94",3,23,21,0,21,4,0,0,22
19,wielicki,130,129 136,"10,07",5,117,7,1,120,9,0,0,0
20,m. Kraków,368,779 115,"4,72",19,268,81,24,112,99,0,0,133
21,m. Nowy Sącz,75,83 794,"8,95",0,28,47,3,71,1,0,0,0
22,m. Tarnów,15,108 470,"1,38",0,14,1,8,3,2,0,0,2
"RazemMałopolska",2 130,3 410 901,"6,24",46,1 403,676,65,1 210,266,76,2,511,
