"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 02.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,501,106 858,"46,88",30,405,59,3,129,19,240,0,12,23,0,0,31,0,0,44
"",2,brzeski,175,93 201,"18,78",2,154,17,3,33,50,11,2,2,0,0,0,0,21,0,53
"",3,chrzanowski,155,124 536,"12,45",4,94,57,1,39,11,5,0,16,0,0,0,8,0,0,75
"",4,dąbrowski,70,59 174,"11,83",0,52,18,2,40,3,0,0,0,0,0,0,0,0,0,25
"",5,gorlicki,175,108 886,"16,07",2,147,26,2,86,9,0,0,0,9,0,0,13,0,0,56
"",6,krakowski,665,279 239,"23,81",6,522,137,6,176,42,13,0,9,4,0,0,2,4,0,409
"",7,limanowski,806,131 764,"61,17 / 20,49",9,526,270,0,367,29,34,0,0,10,0,0,0,0,1,365
"",8,miechowski,107,48 818,"21,92",1,71,35,0,33,0,0,0,1,0,0,0,0,0,0,73
"",9,myślenicki,674,127 600,"52,82 / 18,65",1,435,238,0,223,28,19,0,73,11,0,0,2,0,0,318
"",10,nowosądecki,1 497,216 796,"69,05",24,1 261,212,7,937,81,64,1,292,23,0,0,20,0,0,72
"",11,nowotarski,1 029,191 782,"53,65 / 19,55",20,631,375,2,380,81,25,0,33,7,0,0,0,0,1,500
"",12,olkuski,183,111 217,"16,45",1,117,65,4,15,8,1,0,50,13,0,0,0,0,0,92
"",13,oświęcimski,468,153 486,"30,49",8,396,64,2,216,17,0,0,0,0,0,0,0,0,0,233
"",14,proszowicki,78,43 222,"18,05",3,44,31,2,8,9,27,0,0,0,0,0,0,0,0,32
"",15,suski,392,84 232,"46,54",3,326,63,2,162,5,0,0,60,5,0,0,19,0,0,139
"",16,tarnowski,332,201 497,"16,48",9,281,41,6,162,11,56,0,0,0,0,0,0,0,0,97
"",17,tatrzański,486,68 072,"71,39 / 21,89",6,330,149,2,179,35,39,0,35,26,0,0,0,0,0,170
"",18,wadowicki,485,160 006,"30,31 / 10,81",8,304,173,0,200,34,51,0,14,9,0,0,0,0,0,177
"",19,wielicki,379,129 136,"29,35",6,303,68,1,232,9,0,0,2,0,0,0,0,0,0,135
"",20,m. Kraków,2 440,779 115,"31,32",38,1 902,499,33,510,206,3,16,45,13,0,10,34,32,0,1 538
"",21,m. Nowy Sącz,577,83 794,"68,86 / 10,26",16,475,86,3,314,33,106,0,112,3,0,0,6,0,0,0
"",22,m. Tarnów,109,108 470,"10,05",1,85,23,8,22,8,0,0,0,0,0,0,0,0,0,71
"RazemMałopolska",11 783,3 410 901,"34,55",198,8 861,2 706,89,4 463,728,694,19,756,156,0,10,135,57,2,4 674,,
