Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 20.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,412,106 858,"38,56 / 19,56",24,172,209,3,106,13,240,0,50
2,brzeski,108,93 201,"11,59",2,68,36,3,19,49,0,2,35
3,chrzanowski,59,124 536,"4,74",0,41,18,1,25,1,,,32
4,dąbrowski,35,59 174,"5,91",0,18,17,2,32,1,0,0,0
5,gorlicki,101,108 886,"9,28",2,18,81,2,69,5,0,0,25
6,krakowski,210,279 239,"7,52",3,93,114,4,77,21,0,0,108
7,limanowski,374,131 764,"28,38 / 15,86",7,158,209,0,239,25,0,0,110
8,miechowski,23,48 818,"4,71",0,15,8,0,12,0,0,0,11
9,myślenicki,243,127 600,"19,04",0,186,57,0,130,20,0,0,93
10,nowosądecki,1 048,216 796,"48,34 / 35,52",6,272,770,7,1 041,0,0,0,0
11,nowotarski,365,191 782,"19,03 / 16,48",3,46,316,2,189,36,0,0,138
12,olkuski,39,111 217,"3,51",0,16,23,3,0,8,0,0,28
13,oświęcimski,315,153 486,"20,52 / 11,60",6,131,178,2,161,15,0,0,137
14,proszowicki,26,43 222,"6,02",2,12,12,,5,7,2,,12
15,suski,247,84 232,"29,32",2,203,42,0,149,2,0,0,96
16,tarnowski,228,201 497,"11,32",6,111,111,6,125,3,56,0,38
17,tatrzański,221,68 072,"32,47 / 23,80",2,57,162,2,152,7,0,0,60
18,wadowicki,197,160 006,"12,31",4,88,105,0,145,5,0,0,47
19,wielicki,229,129 136,"17,73",5,129,94,1,194,9,0,0,25
20,m. Kraków,1 111,779 115,"14,26",22,370,719,28,256,112,0,0,715
21,m. Nowy Sącz,343,83 794,"40,93 / 31,98",7,68,268,3,339,1,0,0,0
22,m. Tarnów,55,108 470,"5,07",0,17,38,8,18,3,0,0,26
"RazemMałopolska",5 989,3 410 901,"17,56 / 10,52",103,2 289,3 587,77,3 483,343,298,2,1 786,
