Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 26.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,335,106 858,"31,35 / 17,13",6,144,183,3,80,12,218,0,22
2,brzeski,71,93 201,"7,62",2,64,3,3,5,48,0,2,13
3,chrzanowski,38,124 536,"3,05",0,33,5,1,18,0,,,19
4,dąbrowski,17,59 174,"2,87",0,11,6,2,14,1,0,0,0
5,gorlicki,29,108 886,"2,66",0,8,21,1,23,1,0,0,4
6,krakowski,103,279 239,"3,69",1,81,21,4,45,19,0,0,35
7,limanowski,204,131 764,"15,48",5,111,88,0,124,25,0,0,55
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,172,127 600,"13,48",0,154,18,0,90,18,0,0,64
10,nowosądecki,499,216 796,"23,02 / 19,93",1,66,432,7,492,0,0,0,0
11,nowotarski,49,191 782,"2,55",0,12,37,2,27,1,0,0,19
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,184,153 486,"11,99",4,89,91,2,86,14,0,0,82
14,proszowicki,17,43 222,"3,93",2,9,6,0,2,5,1,,9
15,suski,216,84 232,"25,64",0,182,34,0,131,2,0,0,83
16,tarnowski,126,201 497,"6,25",3,88,35,6,85,2,23,0,10
17,tatrzański,97,68 072,"14,25 / 13,37",0,6,91,2,71,1,0,0,23
18,wadowicki,139,160 006,"8,69",3,29,107,0,101,4,0,0,34
19,wielicki,140,129 136,"10,84",5,121,13,1,130,9,0,0,0
20,m. Kraków,441,779 115,"5,66",19,309,113,27,135,100,0,0,179
21,m. Nowy Sącz,140,83 794,"16,71 / 11,93",1,39,100,3,136,1,0,0,0
22,m. Tarnów,20,108 470,"1,84",0,15,5,8,3,3,0,0,6
"RazemMałopolska",3 071,3 410 901,"9,00",52,1 595,1 419,73,1 809,271,242,2,674,
