"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 25.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,468,106 858,"43,80",30,402,29,3,126,13,240,0,12,17,0,0,30,0,0,27
"",2,brzeski,167,93 201,"17,92",2,146,17,3,33,50,10,2,1,0,0,0,0,21,0,47
"",3,chrzanowski,123,124 536,"9,88",4,83,36,1,39,6,0,0,16,0,0,0,7,0,0,54
"",4,dąbrowski,56,59 174,"9,46",0,49,7,2,38,1,0,0,0,0,0,0,0,0,0,15
"",5,gorlicki,158,108 886,"14,51",2,146,10,2,84,6,0,0,0,5,0,0,13,0,0,48
"",6,krakowski,574,279 239,"20,56",5,428,141,6,156,38,1,0,5,4,0,0,2,4,0,358
"",7,limanowski,704,131 764,"53,43 / 15,03",8,497,198,0,363,29,10,0,0,8,0,0,0,0,1,293
"",8,miechowski,85,48 818,"17,41",0,61,24,0,27,0,0,0,0,0,0,0,0,0,0,58
"",9,myślenicki,523,127 600,"40,99 / 13,32",0,353,170,0,196,25,0,0,72,4,0,0,2,0,0,224
"",10,nowosądecki,1 396,216 796,"64,39 / 10,06",22,1 156,218,7,893,52,64,1,280,11,0,0,20,0,0,68
"",11,nowotarski,877,191 782,"45,73 / 14,81",18,573,284,2,355,74,23,0,18,7,0,0,0,0,1,397
"",12,olkuski,149,111 217,"13,40",0,85,64,4,15,8,0,0,46,11,0,0,0,0,0,65
"",13,oświęcimski,429,153 486,"27,95",8,391,30,2,214,17,0,0,0,0,0,0,0,0,0,196
"",14,proszowicki,69,43 222,"15,96",3,42,24,2,8,8,25,0,0,0,0,0,0,0,0,26
"",15,suski,355,84 232,"42,15",3,292,60,2,156,5,0,0,60,2,0,0,19,0,0,111
"",16,tarnowski,302,201 497,"14,99",9,274,18,6,162,3,56,0,0,0,0,0,0,0,0,75
"",17,tatrzański,384,68 072,"56,41 / 12,49",4,295,85,2,176,13,12,0,28,22,0,0,0,0,0,131
"",18,wadowicki,384,160 006,"24,00",7,270,107,0,190,29,2,0,12,1,0,0,0,0,0,150
"",19,wielicki,335,129 136,"25,94",6,295,32,1,232,9,0,0,2,0,0,0,0,0,0,91
"",20,m. Kraków,2 135,779 115,"27,40",37,1 713,385,33,488,190,3,0,25,6,0,0,34,32,0,1 324
"",21,m. Nowy Sącz,538,83 794,"64,21 / 14,20",15,404,119,3,295,23,106,0,103,1,0,0,7,0,0,0
"",22,m. Tarnów,88,108 470,"8,11",1,81,6,8,22,4,0,0,0,0,0,0,0,0,0,54
"RazemMałopolska",10 299,3 410 901,"30,19",184,8 036,2 064,89,4 268,603,552,3,680,99,0,0,134,57,2,3 812,,
