Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 22.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,256,106 858,"23,96 / 10,01",4,143,107,2,77,12,143,0,22
2,brzeski,70,93 201,"7,51",2,64,2,2,5,48,0,2,13
3,chrzanowski,37,124 536,"2,97",0,33,4,1,18,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,21,108 886,"1,93",0,7,14,1,15,1,0,0,4
6,krakowski,101,279 239,"3,62",1,80,20,4,45,19,0,0,33
7,limanowski,190,131 764,"14,42",5,108,77,0,113,25,0,0,52
8,miechowski,17,48 818,"3,48",0,12,5,0,10,0,0,0,7
9,myślenicki,163,127 600,"12,77",0,152,11,0,86,18,0,0,59
10,nowosądecki,394,216 796,"18,17 / 15,64",1,54,339,7,387,0,0,0,0
11,nowotarski,38,191 782,"1,98",0,12,26,2,23,1,0,0,12
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,142,153 486,"9,25",4,87,51,2,53,14,0,0,73
14,proszowicki,15,43 222,"3,47",2,9,4,0,0,5,1,0,9
15,suski,209,84 232,"24,81",0,171,38,0,128,1,0,0,80
16,tarnowski,118,201 497,"5,86",3,85,30,4,85,2,22,0,5
17,tatrzański,63,68 072,"9,25",0,6,57,2,40,1,0,0,20
18,wadowicki,115,160 006,"7,19",3,26,86,0,81,4,0,0,30
19,wielicki,138,129 136,"10,69",5,121,11,1,128,9,0,0,0
20,m. Kraków,404,779 115,"5,19",19,298,87,26,128,99,0,0,151
21,m. Nowy Sącz,108,83 794,"12,89",0,32,76,3,104,1,0,0,0
22,m. Tarnów,17,108 470,"1,57",0,15,2,8,3,2,0,0,4
"RazemMałopolska",2 646,3 410 901,"7,76",49,1 538,1 054,68,1 541,268,166,2,601,
