"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 12.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,591,"55,31 / 10,20",30,444,109,3,143,31,240,0,13,23,0,0,31,0,0,107
"",2,brzeski,246,"26,39",2,161,81,3,37,66,13,2,2,0,0,0,0,21,0,102
"",3,chrzanowski,299,"24,01 / 14,37",5,115,179,1,40,26,25,2,16,0,0,0,8,0,0,181
"",4,dąbrowski,102,"17,24",2,62,38,2,49,4,0,0,1,0,0,0,0,0,0,46
"",5,gorlicki,269,"24,70",2,159,108,2,97,24,0,0,0,10,0,0,20,0,0,116
"",6,krakowski,915,"32,77",7,662,246,6,182,48,15,0,13,4,0,0,2,4,0,641
"",7,limanowski,1 045,"79,31 / 21,33",11,752,281,0,369,52,39,0,0,12,0,0,0,0,1,572
"",8,miechowski,187,"38,31 / 20,28",1,87,99,0,48,0,0,0,14,0,0,0,0,0,0,125
"",9,myślenicki,1 018,"79,78 / 34,56",2,575,441,0,252,42,27,0,85,21,0,0,2,0,0,589
"",10,nowosądecki,1 701,"78,46 / 13,65",31,1 374,296,7,1 061,100,64,1,325,40,0,0,20,0,0,83
"",11,nowotarski,1 356,"70,71 / 29,56",24,761,567,2,410,90,25,28,77,8,0,0,0,0,1,715
"",12,olkuski,332,"29,85 / 14,12",3,172,157,4,15,9,4,1,64,17,0,0,2,0,0,216
"",13,oświęcimski,642,"41,83 / 13,42",13,423,206,2,221,55,26,0,0,0,0,0,0,0,0,338
"",14,proszowicki,106,"24,52",3,64,39,2,8,10,27,0,0,0,0,0,0,0,0,59
"",15,suski,637,"75,62 / 28,61",8,387,241,2,178,13,69,7,71,21,0,0,19,0,0,257
"",16,tarnowski,425,"21,09",9,303,112,6,191,14,56,0,15,0,0,0,0,0,0,143
"",17,tatrzański,675,"99,16 / 36,58",10,413,249,2,181,79,41,0,43,49,0,0,0,0,0,280
"",18,wadowicki,645,"40,31 / 17,31",11,356,277,0,220,56,54,0,22,20,0,0,0,0,0,273
"",19,wielicki,529,"40,96 / 15,72",7,317,203,1,254,11,0,0,7,2,0,0,1,0,0,253
"",20,m. Kraków,3 800,"48,77 / 15,67",41,2 537,1 221,33,532,226,90,17,57,13,0,36,34,32,0,2 730
"",21,m. Nowy Sącz,663,"79,12 / 12,89",18,537,108,3,360,43,106,0,126,7,0,0,7,1,0,10
"",22,m. Tarnów,195,"17,98",1,100,94,8,45,17,0,0,9,0,0,0,0,0,0,116
"RazemMałopolska",16 378,"48,02 / 15,69",241,10 761,5 352,89,4 893,1 016,921,58,960,247,0,36,146,58,2,7 952,,
