Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 11.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,141,6,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,38,124 536,"3,05",0,28,10,1,19,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,13,108 886,"1,19",0,7,6,1,8,1,0,0,3
6,krakowski,92,279 239,"3,29",1,72,19,4,38,19,0,0,31
7,limanowski,168,131 764,"12,75",4,105,59,0,100,25,0,0,43
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,150,9,0,86,18,0,0,55
10,nowosądecki,220,216 796,"10,15",0,31,189,7,213,0,0,0,0
11,nowotarski,20,191 782,"1,04",0,12,8,2,7,1,0,0,10
12,olkuski,15,111 217,"1,35",0,11,4,1,0,5,0,0,9
13,oświęcimski,110,153 486,"7,17",4,77,29,2,50,13,0,0,45
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03",0,144,50,0,115,0,0,0,79
16,tarnowski,116,201 497,"5,76",3,44,69,3,85,2,22,0,4
17,tatrzański,12,68 072,"1,76",0,5,7,2,6,1,0,0,3
18,wadowicki,39,160 006,"2,44",2,23,14,0,20,4,0,0,15
19,wielicki,129,129 136,"9,99",5,117,6,1,119,9,0,0,0
20,m. Kraków,358,779 115,"4,59",19,263,76,23,109,99,0,0,127
21,m. Nowy Sącz,63,83 794,"7,52",0,28,35,3,59,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,14,0,8,3,2,0,0,1
"RazemMałopolska",2 019,3 410 901,"5,92",45,1 365,604,64,1 124,266,76,2,487,
