Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 04.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,140,7,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,37,124 536,"2,97",0,24,13,1,18,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,10,108 886,"0,92",0,7,3,1,6,1,0,0,2
6,krakowski,87,279 239,"3,12",1,66,20,4,38,19,0,0,26
7,limanowski,130,131 764,"9,87",3,104,23,0,73,25,0,0,32
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,150,9,0,86,18,0,0,55
10,nowosądecki,132,216 796,"6,09",0,31,101,7,125,0,0,0,0
11,nowotarski,15,191 782,"0,78",0,10,5,2,4,1,0,0,8
12,olkuski,13,111 217,"1,17",0,10,3,1,0,5,0,0,7
13,oświęcimski,107,153 486,"6,97",4,70,33,2,48,13,0,0,44
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03",0,121,73,0,115,0,0,0,79
16,tarnowski,114,201 497,"5,66",3,25,86,3,83,2,22,0,4
17,tatrzański,7,68 072,"1,03",0,4,3,1,4,1,0,0,1
18,wadowicki,35,160 006,"2,19",2,19,14,0,17,4,0,0,14
19,wielicki,127,129 136,"9,83",5,116,5,1,117,9,0,0,0
20,m. Kraków,347,779 115,"4,45",19,249,79,23,106,99,0,0,119
21,m. Nowy Sącz,47,83 794,"5,61",0,28,19,3,43,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,12,2,8,3,2,0,0,1
"RazemMałopolska",1 834,3 410 901,"5,38",44,1 279,506,63,973,266,76,2,454,
