Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 29.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,431,106 858,"40,33 / 14,04",29,245,150,3,121,13,240,0,54
2,brzeski,143,93 201,"15,34",2,68,71,3,29,50,0,2,59
3,chrzanowski,67,124 536,"5,38",0,50,17,1,26,1,0,0,39
4,dąbrowski,44,59 174,"7,44",0,24,20,2,35,1,0,0,6
5,gorlicki,123,108 886,"11,30",2,35,86,2,80,5,0,0,36
6,krakowski,287,279 239,"10,28",3,122,162,5,87,24,0,0,171
7,limanowski,470,131 764,"35,67 / 18,82",7,215,248,0,285,25,0,0,160
8,miechowski,36,48 818,"7,37",0,18,18,0,18,0,0,0,18
9,myślenicki,272,127 600,"21,32",0,217,55,0,147,20,0,0,105
10,nowosądecki,1 182,216 796,"54,52 / 34,32",13,425,744,7,1 175,0,0,0,0
11,nowotarski,522,191 782,"27,22 / 20,49",7,122,393,2,258,66,0,0,196
12,olkuski,53,111 217,"4,77",0,26,27,4,4,8,0,0,37
13,oświęcimski,359,153 486,"23,39",6,212,141,2,183,16,0,0,158
14,proszowicki,31,43 222,"7,17",2,15,14,0,5,7,2,0,17
15,suski,254,84 232,"30,15",2,217,35,0,150,3,0,0,101
16,tarnowski,271,201 497,"13,45",8,127,136,6,162,3,56,0,44
17,tatrzański,254,68 072,"37,31 / 18,95",2,123,129,2,164,13,0,0,75
18,wadowicki,254,160 006,"15,87",6,141,107,0,165,16,0,0,73
19,wielicki,261,129 136,"20,21",5,138,117,1,210,9,0,0,41
20,m. Kraków,1 417,779 115,"18,19 / 10,79",24,552,841,28,331,119,0,0,939
21,m. Nowy Sącz,464,83 794,"55,37 / 40,10",9,119,336,3,460,1,0,0,0
22,m. Tarnów,61,108 470,"5,62",0,22,39,8,20,3,0,0,30
"RazemMałopolska",7 256,3 410 901,"21,27 / 11,39",127,3 233,3 886,79,4 115,403,298,2,2 359,
