"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 26.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,473,106 858,"44,26",30,403,33,3,128,13,240,0,12,18,0,0,31,0,0,28
"",2,brzeski,167,93 201,"17,92",2,148,15,3,33,50,10,2,1,0,0,0,0,21,0,47
"",3,chrzanowski,126,124 536,"10,12",4,84,38,1,39,7,0,0,16,0,0,0,7,0,0,56
"",4,dąbrowski,59,59 174,"9,97",0,49,10,2,38,1,0,0,0,0,0,0,0,0,0,18
"",5,gorlicki,158,108 886,"14,51",2,146,10,2,84,6,0,0,0,5,0,0,13,0,0,48
"",6,krakowski,590,279 239,"21,13",5,449,136,6,162,39,1,0,5,4,0,0,2,4,0,367
"",7,limanowski,729,131 764,"55,33 / 16,62",9,500,219,0,365,29,24,0,0,8,0,0,0,0,1,302
"",8,miechowski,95,48 818,"19,46",0,61,34,0,29,0,0,0,0,0,0,0,0,0,0,66
"",9,myślenicki,543,127 600,"42,55 / 14,50",0,358,185,0,199,25,5,0,72,5,0,0,2,0,0,235
"",10,nowosądecki,1 407,216 796,"64,90",22,1 188,197,7,898,54,64,1,283,12,0,0,20,0,0,68
"",11,nowotarski,905,191 782,"47,19 / 16,22",19,573,311,2,358,74,23,0,21,7,0,0,0,0,1,419
"",12,olkuski,154,111 217,"13,85",0,89,65,4,15,8,0,0,46,11,0,0,0,0,0,70
"",13,oświęcimski,437,153 486,"28,47",8,391,38,2,214,17,0,0,0,0,0,0,0,0,0,204
"",14,proszowicki,70,43 222,"16,20",3,42,25,2,8,8,26,0,0,0,0,0,0,0,0,26
"",15,suski,361,84 232,"42,86",3,299,59,2,159,5,0,0,60,3,0,0,19,0,0,113
"",16,tarnowski,305,201 497,"15,14",9,274,21,6,162,3,56,0,0,0,0,0,0,0,0,78
"",17,tatrzański,409,68 072,"60,08 / 15,28",5,300,104,2,177,30,17,0,28,23,0,0,0,0,0,132
"",18,wadowicki,403,160 006,"25,19",7,277,119,0,190,29,12,0,12,1,0,0,0,0,0,159
"",19,wielicki,347,129 136,"26,87",6,296,43,1,232,9,0,0,2,0,0,0,0,0,0,103
"",20,m. Kraków,2 191,779 115,"28,12",37,1 730,424,33,494,191,3,4,38,6,0,0,34,32,0,1 356
"",21,m. Nowy Sącz,539,83 794,"64,32 / 10,98",16,431,92,3,295,24,106,0,103,1,0,0,7,0,0,0
"",22,m. Tarnów,90,108 470,"8,30",1,81,8,8,22,4,0,0,0,0,0,0,0,0,0,56
"RazemMałopolska",10 558,3 410 901,"30,95",188,8 169,2 186,89,4 301,626,587,7,699,104,0,0,135,57,2,3 951,,
