Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 18.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,397,106 858,"37,15 / 18,81",24,165,201,3,96,13,240,0,45
2,brzeski,100,93 201,"10,73",2,68,28,3,17,49,0,2,29
3,chrzanowski,55,124 536,"4,42",0,37,18,1,25,1,0,0,28
4,dąbrowski,34,59 174,"5,75",0,17,17,2,31,1,0,0,0
5,gorlicki,96,108 886,"8,82",1,18,77,2,67,5,0,0,22
6,krakowski,194,279 239,"6,95",3,90,101,4,72,21,0,0,97
7,limanowski,361,131 764,"27,40 / 15,03",7,156,198,0,238,25,0,0,98
8,miechowski,23,48 818,"4,71",0,15,8,0,12,0,0,0,11
9,myślenicki,240,127 600,"18,81",0,179,61,0,130,20,0,0,90
10,nowosądecki,1 018,216 796,"46,96 / 34,83",6,257,755,7,1 011,0,0,0,0
11,nowotarski,313,191 782,"16,32 / 14,44",3,33,277,2,151,30,0,0,130
12,olkuski,36,111 217,"3,24",0,16,20,3,0,7,0,0,26
13,oświęcimski,304,153 486,"19,81 / 11,66",6,119,179,2,155,15,0,0,132
14,proszowicki,26,43 222,"6,02",2,12,12,0,5,7,2,,12
15,suski,246,84 232,"29,21",2,199,45,0,149,2,0,0,95
16,tarnowski,214,201 497,"10,62",5,111,98,6,111,3,56,0,38
17,tatrzański,208,68 072,"30,56 / 23,95",1,44,163,2,143,7,0,0,56
18,wadowicki,195,160 006,"12,19",4,64,127,0,144,5,0,0,46
19,wielicki,221,129 136,"17,11",5,127,88,1,191,9,0,0,20
20,m. Kraków,1 033,779 115,"13,26",22,345,666,28,245,111,0,0,649
21,m. Nowy Sącz,331,83 794,"39,50 / 30,67",7,67,257,3,327,1,0,0,0
22,m. Tarnów,53,108 470,"4,89",0,17,36,8,16,3,0,0,26
"RazemMałopolska",5 698,3 410 901,"16,71 / 10,06",100,2 156,3 432,77,3 336,335,298,2,1 650,
