"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 01.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,493,106 858,"46,14",30,403,53,3,129,13,240,0,12,23,0,0,31,0,0,42
"",2,brzeski,173,93 201,"18,56",2,152,17,3,33,50,11,2,2,0,0,0,0,21,0,51
"",3,chrzanowski,152,124 536,"12,21",4,91,57,1,39,11,5,0,16,0,0,0,8,0,0,72
"",4,dąbrowski,69,59 174,"11,66",0,52,17,2,40,2,0,0,0,0,0,0,0,0,0,25
"",5,gorlicki,172,108 886,"15,80",2,146,24,2,86,7,0,0,0,9,0,0,13,0,0,55
"",6,krakowski,651,279 239,"23,31",6,512,133,6,172,40,13,0,9,4,0,0,2,4,0,401
"",7,limanowski,798,131 764,"60,56 / 20,42",9,519,269,0,367,29,31,0,0,10,0,0,0,0,1,360
"",8,miechowski,102,48 818,"20,89",1,70,31,0,30,0,0,0,1,0,0,0,0,0,0,71
"",9,myślenicki,656,127 600,"51,41 / 18,73",1,416,239,0,221,28,19,0,73,11,0,0,2,0,0,302
"",10,nowosądecki,1 479,216 796,"68,22",24,1 258,197,7,931,73,64,1,289,22,0,0,20,0,0,72
"",11,nowotarski,1 000,191 782,"52,14 / 18,77",20,617,360,2,375,81,24,0,30,7,0,0,0,0,1,480
"",12,olkuski,178,111 217,"16,00",1,111,66,4,15,8,0,0,50,11,0,0,0,0,0,90
"",13,oświęcimski,461,153 486,"30,04",8,395,58,2,216,17,0,0,0,0,0,0,0,0,0,226
"",14,proszowicki,77,43 222,"17,82",3,44,30,2,8,9,27,0,0,0,0,0,0,0,0,31
"",15,suski,385,84 232,"45,71",3,321,61,2,162,5,0,0,60,4,0,0,19,0,0,133
"",16,tarnowski,326,201 497,"16,18",9,281,35,6,162,11,56,0,0,0,0,0,0,0,0,91
"",17,tatrzański,466,68 072,"68,46 / 20,42",6,320,139,2,179,34,34,0,30,25,0,0,0,0,0,162
"",18,wadowicki,454,160 006,"28,37",7,302,145,0,199,34,25,0,14,1,0,0,0,0,0,181
"",19,wielicki,369,129 136,"28,57",6,303,58,1,232,9,0,0,2,0,0,0,0,0,0,125
"",20,m. Kraków,2 365,779 115,"30,35",38,1 865,461,33,507,199,3,12,45,11,0,0,34,32,0,1 489
"",21,m. Nowy Sącz,572,83 794,"68,26",16,475,81,3,314,27,106,0,112,3,0,0,7,0,0,0
"",22,m. Tarnów,103,108 470,"9,50",1,85,17,8,22,8,0,0,0,0,0,0,0,0,0,65
"RazemMałopolska",11 501,3 410 901,"33,72",197,8 738,2 548,89,4 439,695,658,15,745,141,0,0,136,57,2,4 524,,
