Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 24.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,425,106 858,"39,77 / 18,44",28,193,197,3,117,13,240,0,52
2,brzeski,116,93 201,"12,45",2,68,44,3,21,50,0,2,40
3,chrzanowski,62,124 536,"4,98",0,47,15,1,25,1,0,0,35
4,dąbrowski,35,59 174,"5,91",0,18,17,2,32,1,0,0,0
5,gorlicki,109,108 886,"10,01",2,19,88,2,74,5,0,0,28
6,krakowski,240,279 239,"8,59",3,100,137,4,81,24,0,0,131
7,limanowski,411,131 764,"31,19 / 17,99",7,167,237,0,267,25,0,0,119
8,miechowski,27,48 818,"5,53",0,15,12,0,12,0,0,0,15
9,myślenicki,252,127 600,"19,75",0,199,53,0,136,20,0,0,96
10,nowosądecki,1 080,216 796,"49,82 / 35,52",8,302,770,7,1 073,0,0,0,0
11,nowotarski,407,191 782,"21,22 / 16,89",3,80,324,2,209,46,0,0,150
12,olkuski,41,111 217,"3,69",0,19,22,3,1,8,0,0,29
13,oświęcimski,337,153 486,"21,96 / 11,60",6,153,178,2,171,16,0,0,148
14,proszowicki,30,43 222,"6,94",2,13,15,0,5,7,2,0,16
15,suski,249,84 232,"29,56",2,206,41,0,150,2,0,0,97
16,tarnowski,251,201 497,"12,46",7,112,132,6,147,3,56,0,39
17,tatrzański,236,68 072,"34,67 / 18,66",2,107,127,2,158,13,0,0,63
18,wadowicki,218,160 006,"13,62",4,112,102,0,153,7,0,0,58
19,wielicki,244,129 136,"18,89",5,133,105,1,206,9,0,0,28
20,m. Kraków,1 233,779 115,"15,83 / 10,15",22,420,791,28,275,119,0,0,811
21,m. Nowy Sącz,438,83 794,"52,27 / 42,84",7,72,359,3,434,1,0,0,0
22,m. Tarnów,56,108 470,"5,16",0,17,39,8,19,3,0,0,26
"RazemMałopolska",6 497,3 410 901,"19,05 / 11,16",110,2 572,3 805,77,3 766,373,298,2,1 981,
