"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 24.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,464,106 858,"43,42",30,402,25,3,126,13,240,0,12,17,0,0,29,0,0,24
"",2,brzeski,165,93 201,"17,70",2,146,15,3,33,50,9,2,1,0,0,0,0,21,0,46
"",3,chrzanowski,116,124 536,"9,31",4,82,30,1,38,6,0,0,16,0,0,0,4,0,0,51
"",4,dąbrowski,55,59 174,"9,29",0,49,6,2,38,1,0,0,0,0,0,0,0,0,0,14
"",5,gorlicki,158,108 886,"14,51",2,145,11,2,84,6,0,0,0,5,0,0,13,0,0,48
"",6,krakowski,549,279 239,"19,66",5,414,130,6,151,35,1,0,5,4,0,0,2,4,0,341
"",7,limanowski,690,131 764,"52,37 / 13,96",8,497,184,0,359,29,9,0,0,6,0,0,0,0,1,286
"",8,miechowski,82,48 818,"16,80",0,59,23,0,26,0,0,0,0,0,0,0,0,0,0,56
"",9,myślenicki,487,127 600,"38,17 / 11,05",0,346,141,0,190,25,0,0,72,4,0,0,2,0,0,194
"",10,nowosądecki,1 380,216 796,"63,65 / 12,27",22,1 092,266,7,888,48,64,1,278,6,0,0,20,0,0,68
"",11,nowotarski,850,191 782,"44,32 / 14,39",18,554,276,2,354,74,23,0,18,7,0,0,0,0,1,371
"",12,olkuski,141,111 217,"12,68",0,81,60,4,15,8,0,0,45,9,0,0,0,0,0,60
"",13,oświęcimski,424,153 486,"27,62",8,383,33,2,213,17,0,0,0,0,0,0,0,0,0,192
"",14,proszowicki,67,43 222,"15,50",3,42,22,2,8,7,25,0,0,0,0,0,0,0,0,25
"",15,suski,352,84 232,"41,79",3,289,60,2,154,5,0,0,60,2,0,0,19,0,0,110
"",16,tarnowski,301,201 497,"14,94",9,274,17,6,162,3,56,0,0,0,0,0,0,0,0,74
"",17,tatrzański,373,68 072,"54,79 / 10,87",4,295,74,2,176,13,8,0,28,19,0,0,0,0,0,127
"",18,wadowicki,369,160 006,"23,06",7,268,94,0,189,29,1,0,12,1,0,0,0,0,0,137
"",19,wielicki,329,129 136,"25,48",6,287,34,1,232,9,0,0,2,0,0,0,0,0,0,85
"",20,m. Kraków,2 084,779 115,"26,75",36,1 691,357,33,480,180,3,0,25,6,0,0,34,32,0,1 291
"",21,m. Nowy Sącz,534,83 794,"63,73 / 15,28",15,391,128,3,295,20,106,0,103,0,0,0,7,0,0,0
"",22,m. Tarnów,88,108 470,"8,11",1,81,6,8,22,4,0,0,0,0,0,0,0,0,0,54
"RazemMałopolska",10 058,3 410 901,"29,49",183,7 868,1 992,89,4 233,582,545,3,677,86,0,0,130,57,2,3 654,,
