Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 6.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,356,106 858,"33,32 / 17,03",19,148,182,3,80,12,228,0,33
2,brzeski,76,93 201,"8,15",2,66,6,3,6,49,0,2,16
3,chrzanowski,52,124 536,"4,18",0,35,17,1,25,0,0,0,26
4,dąbrowski,30,59 174,"5,07",0,16,14,2,27,1,0,0,0
5,gorlicki,65,108 886,"5,97",1,13,51,2,44,4,0,0,15
6,krakowski,131,279 239,"4,69",2,84,45,4,49,19,0,0,59
7,limanowski,246,131 764,"18,67",7,127,112,0,151,25,0,0,70
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,207,127 600,"16,22",0,159,48,0,113,19,0,0,75
10,nowosądecki,771,216 796,"35,56 / 28,64",3,147,621,7,764,0,0,0,0
11,nowotarski,122,191 782,"6,36",1,17,104,2,61,3,0,0,56
12,olkuski,23,111 217,"2,07",0,12,11,3,0,5,0,0,15
13,oświęcimski,246,153 486,"16,03",5,100,141,2,116,14,0,0,114
14,proszowicki,19,43 222,"4,40",2,9,8,0,3,6,1,0,9
15,suski,231,84 232,"27,42",1,192,38,0,141,2,0,0,88
16,tarnowski,172,201 497,"8,54",3,98,71,6,89,2,47,0,28
17,tatrzański,147,68 072,"21,59 / 20,27",0,9,138,2,109,1,0,0,35
18,wadowicki,163,160 006,"10,19",3,42,118,0,120,4,0,0,39
19,wielicki,170,129 136,"13,16",5,124,40,1,150,9,0,0,10
20,m. Kraków,629,779 115,"8,07",19,314,296,27,157,101,0,0,344
21,m. Nowy Sącz,227,83 794,"27,09 / 20,88",3,49,175,3,223,1,0,0,0
22,m. Tarnów,40,108 470,"3,69",0,16,24,8,6,3,0,0,23
"RazemMałopolska",4 142,3 410 901,"12,14",76,1 789,2 267,76,2 445,280,276,2,1 063,
