Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 31.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,339,106 858,"31,72 / 16,66",12,147,178,3,80,12,222,0,22
2,brzeski,73,93 201,"7,83",2,65,4,3,5,49,0,2,14
3,chrzanowski,43,124 536,"3,45",0,33,10,1,18,0,0,0,24
4,dąbrowski,23,59 174,"3,89",0,13,10,2,20,1,0,0,0
5,gorlicki,41,108 886,"3,77",0,9,32,1,33,1,0,0,6
6,krakowski,110,279 239,"3,94",2,83,25,4,45,19,0,0,42
7,limanowski,215,131 764,"16,32",6,119,90,0,126,25,0,0,64
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,191,127 600,"14,97",0,157,34,0,104,18,0,0,69
10,nowosądecki,631,216 796,"29,11 / 24,26",3,102,526,7,624,0,0,0,0
11,nowotarski,75,191 782,"3,91",0,14,61,2,39,1,0,0,33
12,olkuski,17,111 217,"1,53",0,12,5,3,0,5,0,0,9
13,oświęcimski,216,153 486,"14,07",4,91,121,2,104,14,0,0,96
14,proszowicki,17,43 222,"3,93",2,9,6,,2,5,1,,9
15,suski,228,84 232,"27,07",1,188,39,0,139,2,0,0,87
16,tarnowski,161,201 497,"7,99",3,97,61,6,86,2,46,0,21
17,tatrzański,130,68 072,"19,10 / 18,07",0,7,123,2,94,1,0,0,33
18,wadowicki,157,160 006,"9,81",3,30,124,0,116,4,0,0,37
19,wielicki,148,129 136,"11,46",5,121,21,1,132,9,0,0,6
20,m. Kraków,494,779 115,"6,34",19,312,163,27,146,100,0,0,221
21,m. Nowy Sącz,183,83 794,"21,84 / 16,35",2,44,137,3,179,1,0,0,0
22,m. Tarnów,24,108 470,"2,21",0,16,8,8,3,3,0,0,10
"RazemMałopolska",3 535,3 410 901,"10,36",64,1 681,1 785,75,2 106,272,269,2,811,
