Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 24.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,283,106 858,"26,48 / 12,45",4,144,133,3,78,12,168,0,22
2,brzeski,70,93 201,"7,51",2,64,2,2,5,48,0,2,13
3,chrzanowski,38,124 536,"3,05",0,33,5,1,18,0,0,0,19
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,27,108 886,"2,48",0,7,20,1,21,1,0,0,4
6,krakowski,101,279 239,"3,62",1,81,19,4,45,19,0,0,33
7,limanowski,202,131 764,"15,33",5,108,89,0,123,25,0,0,54
8,miechowski,18,48 818,"3,69",0,12,6,0,10,0,0,0,8
9,myślenicki,165,127 600,"12,93",0,153,12,0,86,18,0,0,61
10,nowosądecki,432,216 796,"19,93 / 17,02",1,62,369,7,425,0,0,0,0
11,nowotarski,45,191 782,"2,35",0,12,33,2,24,1,0,0,18
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,161,153 486,"10,49",4,89,68,2,67,14,0,0,78
14,proszowicki,16,43 222,"3,70",2,9,5,0,1,5,1,0,9
15,suski,216,84 232,"25,64",0,179,37,0,131,2,0,0,83
16,tarnowski,120,201 497,"5,96",3,87,30,4,85,2,22,0,7
17,tatrzański,71,68 072,"10,43",0,6,65,2,46,1,0,0,22
18,wadowicki,133,160 006,"8,31",3,29,101,0,97,4,0,0,32
19,wielicki,139,129 136,"10,76",5,121,12,1,129,9,0,0,0
20,m. Kraków,416,779 115,"5,34",19,304,93,27,128,99,0,0,162
21,m. Nowy Sącz,118,83 794,"14,08 / 10,02",0,34,84,3,114,1,0,0,0
22,m. Tarnów,19,108 470,"1,75",0,15,4,8,3,2,0,0,6
"RazemMałopolska",2 820,3 410 901,"8,27",49,1 572,1 194,70,1 648,269,191,2,640,
