"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 21.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,457,106 858,"42,77",30,400,20,3,126,13,240,0,12,17,0,0,26,0,0,20
"",2,brzeski,165,93 201,"17,70",2,145,16,3,33,50,9,2,1,0,0,0,0,21,0,46
"",3,chrzanowski,106,124 536,"8,51",4,76,26,1,38,5,0,0,16,0,0,0,2,0,0,44
"",4,dąbrowski,53,59 174,"8,96",0,47,6,2,38,1,0,0,0,0,0,0,0,0,0,12
"",5,gorlicki,156,108 886,"14,33",2,143,11,2,84,5,0,0,0,5,0,0,13,0,0,47
"",6,krakowski,510,279 239,"18,26",4,369,137,6,140,33,1,0,5,2,0,0,2,4,0,317
"",7,limanowski,651,131 764,"49,41 / 11,84",8,486,156,0,357,29,2,0,0,3,0,0,0,0,1,259
"",8,miechowski,79,48 818,"16,18",0,51,28,0,26,0,0,0,0,0,0,0,0,0,0,53
"",9,myślenicki,451,127 600,"35,34 / 10,03",0,323,128,0,188,24,0,0,70,4,0,0,2,0,0,163
"",10,nowosądecki,1 362,216 796,"62,82 / 17,76",20,957,385,7,873,47,64,1,277,6,0,0,19,0,0,68
"",11,nowotarski,787,191 782,"41,04 / 13,35",15,515,256,2,351,71,2,0,16,7,0,0,0,0,1,337
"",12,olkuski,131,111 217,"11,78",0,66,65,4,15,8,0,0,40,8,0,0,0,0,0,56
"",13,oświęcimski,418,153 486,"27,23",8,369,41,2,212,17,0,0,0,0,0,0,0,0,0,187
"",14,proszowicki,62,43 222,"14,34",3,37,22,2,8,7,22,0,0,0,0,0,0,0,0,23
"",15,suski,324,84 232,"38,47",3,280,41,2,147,5,0,0,55,2,0,0,19,0,0,94
"",16,tarnowski,296,201 497,"14,69",9,263,24,6,162,3,56,0,0,0,0,0,0,0,0,69
"",17,tatrzański,348,68 072,"51,12",4,279,65,2,175,13,2,0,27,18,0,0,0,0,0,111
"",18,wadowicki,351,160 006,"21,94",7,254,90,0,189,28,1,0,9,1,0,0,0,0,0,123
"",19,wielicki,314,129 136,"24,32",6,276,30,1,232,9,0,0,2,0,0,0,0,0,0,70
"",20,m. Kraków,1 992,779 115,"25,57",34,1 606,352,33,476,169,3,0,25,4,0,0,34,32,0,1 216
"",21,m. Nowy Sącz,528,83 794,"63,01 / 15,75",14,382,132,3,290,20,106,0,102,0,0,0,7,0,0,0
"",22,m. Tarnów,87,108 470,"8,02",1,72,14,8,22,4,0,0,0,0,0,0,0,0,0,53
"RazemMałopolska",9 628,3 410 901,"28,23",174,7 396,2 045,89,4 182,561,508,3,657,77,0,0,124,57,2,3 368,,
