Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 27.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,431,106 858,"40,33 / 16,10",29,223,172,3,122,13,240,0,53
2,brzeski,139,93 201,"14,91",2,68,67,3,28,50,0,2,56
3,chrzanowski,65,124 536,"5,22",0,48,17,1,25,1,0,0,38
4,dąbrowski,41,59 174,"6,93",0,21,20,2,33,1,0,0,5
5,gorlicki,119,108 886,"10,93",2,20,97,2,80,5,0,0,32
6,krakowski,274,279 239,"9,81",3,109,162,4,85,24,0,0,161
7,limanowski,436,131 764,"33,09 / 17,99",7,192,237,0,269,25,0,0,142
8,miechowski,35,48 818,"7,17",0,17,18,0,18,0,0,0,17
9,myślenicki,260,127 600,"20,38",0,210,50,0,137,20,0,0,103
10,nowosądecki,1 168,216 796,"53,88 / 35,98",13,375,780,7,1 161,0,0,0,0
11,nowotarski,475,191 782,"24,77 / 19,29",6,99,370,2,248,52,0,0,173
12,olkuski,47,111 217,"4,23",0,23,24,3,3,8,0,0,33
13,oświęcimski,349,153 486,"22,74",6,204,139,2,175,16,0,0,156
14,proszowicki,30,43 222,"6,94",2,14,14,0,5,7,2,,16
15,suski,253,84 232,"30,04",2,210,41,0,150,3,0,0,100
16,tarnowski,262,201 497,"13,00",7,118,137,6,153,3,56,0,44
17,tatrzański,252,68 072,"37,02 / 19,54",2,117,133,2,164,13,0,0,73
18,wadowicki,230,160 006,"14,37",5,134,91,0,158,7,0,0,65
19,wielicki,258,129 136,"19,98",5,136,116,1,210,9,0,0,38
20,m. Kraków,1 354,779 115,"17,38 / 10,63",24,502,828,28,306,119,0,0,901
21,m. Nowy Sącz,451,83 794,"53,82 / 40,58",7,104,340,3,447,1,0,0,0
22,m. Tarnów,60,108 470,"5,53",0,21,39,8,20,3,0,0,29
"RazemMałopolska",6 989,3 410 901,"20,49 / 11,41",122,2 965,3 892,77,3 997,380,298,2,2 235,
