Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 18.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,177,106 858,"16,56",3,142,30,2,75,12,65,0,23
2,brzeski,70,93 201,"7,51",2,64,2,2,5,48,0,2,13
3,chrzanowski,37,124 536,"2,97",0,33,4,1,18,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,20,108 886,"1,84",0,7,13,1,15,1,0,0,3
6,krakowski,99,279 239,"3,55",1,78,20,4,43,19,0,0,33
7,limanowski,189,131 764,"14,34",5,106,78,0,113,25,0,0,51
8,miechowski,17,48 818,"3,48",0,12,5,0,10,0,0,0,7
9,myślenicki,161,127 600,"12,62",0,152,9,0,86,18,0,0,57
10,nowosądecki,328,216 796,"15,13 / 13,28",0,40,288,7,321,0,0,0,0
11,nowotarski,34,191 782,"1,77",0,12,22,2,19,1,0,0,12
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,127,153 486,"8,27",4,83,40,2,50,13,0,0,62
14,proszowicki,13,43 222,"3,01",2,8,3,0,0,5,1,0,7
15,suski,207,84 232,"24,57",0,162,45,0,128,0,0,0,79
16,tarnowski,118,201 497,"5,86",3,64,51,4,85,2,22,0,5
17,tatrzański,55,68 072,"8,08",0,6,49,2,36,1,0,0,16
18,wadowicki,84,160 006,"5,25",3,24,57,0,56,4,0,0,24
19,wielicki,133,129 136,"10,30",5,119,8,1,123,9,0,0,0
20,m. Kraków,379,779 115,"4,86",19,286,74,25,118,99,0,0,137
21,m. Nowy Sącz,85,83 794,"10,14",0,29,56,3,81,1,0,0,0
22,m. Tarnów,16,108 470,"1,48",0,15,1,8,3,2,0,0,3
"RazemMałopolska",2 379,3 410 901,"6,97",47,1 465,862,67,1 397,266,88,2,559,
