Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 23.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,420,106 858,"39,30 / 18,06",27,193,193,3,113,13,240,0,51
2,brzeski,114,93 201,"12,23",2,68,42,3,21,49,0,2,39
3,chrzanowski,62,124 536,"4,98",0,47,15,1,25,1,,,35
4,dąbrowski,35,59 174,"5,91",0,18,17,2,32,1,0,0,0
5,gorlicki,107,108 886,"9,83",2,19,86,2,72,5,0,0,28
6,krakowski,236,279 239,"8,45",3,100,133,4,81,22,0,0,129
7,limanowski,397,131 764,"30,13 / 16,92",7,167,223,0,253,25,0,0,119
8,miechowski,27,48 818,"5,53",0,15,12,0,12,0,0,0,15
9,myślenicki,252,127 600,"19,75",0,199,53,0,136,20,0,0,96
10,nowosądecki,1 077,216 796,"49,68 / 36,35",8,281,788,7,1 070,0,0,0,0
11,nowotarski,407,191 782,"21,22 / 17,10",3,76,328,2,209,46,0,0,150
12,olkuski,41,111 217,"3,69",0,19,22,3,1,8,0,0,29
13,oświęcimski,332,153 486,"21,63 / 11,27",6,153,173,2,169,16,0,0,145
14,proszowicki,30,43 222,"6,94",2,13,15,,5,7,2,,16
15,suski,249,84 232,"29,56",2,206,41,0,150,2,0,0,97
16,tarnowski,251,201 497,"12,46",7,112,132,6,147,3,56,0,39
17,tatrzański,232,68 072,"34,08 / 18,80",2,102,128,2,156,13,0,0,61
18,wadowicki,213,160 006,"13,31",4,112,97,0,152,7,0,0,54
19,wielicki,241,129 136,"18,66",5,131,104,1,204,9,0,0,27
20,m. Kraków,1 221,779 115,"15,67 / 10,00",22,420,779,28,274,118,0,0,801
21,m. Nowy Sącz,436,83 794,"52,03 / 42,96",7,69,360,3,432,1,0,0,0
22,m. Tarnów,56,108 470,"5,16",0,17,39,8,19,3,0,0,26
"RazemMałopolska",6 436,3 410 901,"18,87 / 11,08",109,2 537,3 780,77,3 733,369,298,2,1 957,
