Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 16.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,395,106 858,"36,96 / 19,00",24,161,203,3,96,13,240,0,43
2,brzeski,98,93 201,"10,51",2,68,26,3,16,49,0,2,28
3,chrzanowski,55,124 536,"4,42",0,36,19,1,25,1,0,0,28
4,dąbrowski,34,59 174,"5,75",0,17,17,2,31,1,0,0,0
5,gorlicki,94,108 886,"8,63",1,17,76,2,65,5,0,0,22
6,krakowski,179,279 239,"6,41",2,90,87,4,70,20,0,0,85
7,limanowski,355,131 764,"26,94 / 14,80",7,153,195,0,238,25,0,0,92
8,miechowski,22,48 818,"4,51",0,15,7,0,12,0,0,0,10
9,myślenicki,231,127 600,"18,10",0,175,56,0,127,20,0,0,84
10,nowosądecki,998,216 796,"46,03 / 34,04",6,254,738,7,991,0,0,0,0
11,nowotarski,285,191 782,"14,86 / 13,24",1,30,254,2,139,27,0,0,117
12,olkuski,35,111 217,"3,15",0,15,20,3,0,7,0,0,25
13,oświęcimski,305,153 486,"19,87 / 11,99",6,115,184,2,154,15,0,0,134
14,proszowicki,24,43 222,"5,55",2,12,10,0,4,7,2,0,11
15,suski,243,84 232,"28,85",2,198,43,0,149,2,0,0,92
16,tarnowski,208,201 497,"10,32",5,110,93,6,105,3,56,0,38
17,tatrzański,194,68 072,"28,50 / 25,56",1,19,174,2,130,6,0,0,56
18,wadowicki,194,160 006,"12,12",4,57,133,0,143,5,0,0,46
19,wielicki,213,129 136,"16,49",5,127,80,1,183,9,0,0,20
20,m. Kraków,951,779 115,"12,21",21,338,592,27,227,111,0,0,586
21,m. Nowy Sącz,318,83 794,"37,95 / 29,12",7,67,244,3,314,1,0,0,0
22,m. Tarnów,53,108 470,"4,89",0,16,37,8,16,3,0,0,26
"RazemMałopolska",5 484,3 410 901,"16,08",96,2 090,3 288,76,3 235,330,298,2,1 543,
