Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 10.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,369,106 858,"34,53 / 17,78",22,150,190,3,80,12,237,0,37
2,brzeski,85,93 201,"9,12",2,66,15,3,12,49,0,2,19
3,chrzanowski,54,124 536,"4,34",0,36,18,1,25,1,0,0,27
4,dąbrowski,31,59 174,"5,24",0,16,15,2,28,1,0,0,0
5,gorlicki,82,108 886,"7,53",1,14,67,2,58,5,0,0,17
6,krakowski,147,279 239,"5,26",2,86,59,4,56,19,0,0,68
7,limanowski,283,131 764,"21,48 / 10,78",7,134,142,0,176,25,0,0,82
8,miechowski,21,48 818,"4,30",0,13,8,0,11,0,0,0,10
9,myślenicki,215,127 600,"16,85",0,162,53,0,119,19,0,0,77
10,nowosądecki,866,216 796,"39,95 / 32,29",3,163,700,7,859,0,0,0,0
11,nowotarski,161,191 782,"8,39",1,19,141,2,79,8,0,0,72
12,olkuski,24,111 217,"2,16",0,14,10,3,0,5,0,0,16
13,oświęcimski,270,153 486,"17,59 / 10,36",6,105,159,2,130,14,0,0,124
14,proszowicki,20,43 222,"4,63",2,9,9,0,3,6,1,0,10
15,suski,234,84 232,"27,78",1,192,41,0,144,2,0,0,88
16,tarnowski,187,201 497,"9,28",4,98,85,6,91,3,56,0,31
17,tatrzański,174,68 072,"25,56 / 24,24",0,9,165,2,123,4,0,0,45
18,wadowicki,180,160 006,"11,25",3,47,130,0,132,5,0,0,43
19,wielicki,185,129 136,"14,33",5,124,55,1,162,9,0,0,13
20,m. Kraków,743,779 115,"9,54",19,316,408,27,177,106,0,0,433
21,m. Nowy Sącz,268,83 794,"31,98 / 25,18",3,54,211,3,264,1,0,0,0
22,m. Tarnów,45,108 470,"4,15",0,16,29,8,9,3,0,0,25
"RazemMałopolska",4 644,3 410 901,"13,62",81,1 843,2 710,76,2 738,297,294,2,1 237,
