Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 13.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,389,106 858,"36,40 / 18,90",23,157,202,3,94,13,238,0,41
2,brzeski,92,93 201,"9,87",2,68,20,3,12,49,0,2,26
3,chrzanowski,55,124 536,"4,42",0,36,19,1,25,1,0,0,28
4,dąbrowski,31,59 174,"5,24",0,17,14,2,28,1,0,0,0
5,gorlicki,87,108 886,"7,99",1,16,70,2,59,5,0,0,21
6,krakowski,158,279 239,"5,66",2,87,69,4,60,19,0,0,75
7,limanowski,331,131 764,"25,12 / 13,81",7,142,182,0,221,25,0,0,85
8,miechowski,21,48 818,"4,30",0,15,6,0,11,0,0,0,10
9,myślenicki,221,127 600,"17,32",0,166,55,0,122,19,0,0,80
10,nowosądecki,937,216 796,"43,22 / 33,12",6,213,718,7,930,0,0,0,0
11,nowotarski,226,191 782,"11,78 / 10,64",1,21,204,2,128,16,0,0,80
12,olkuski,28,111 217,"2,52",0,15,13,3,0,7,0,0,18
13,oświęcimski,291,153 486,"18,96 / 11,27",6,112,173,2,144,15,0,0,130
14,proszowicki,21,43 222,"4,86",2,12,7,0,3,6,2,0,10
15,suski,241,84 232,"28,61",1,193,47,0,149,2,0,0,90
16,tarnowski,192,201 497,"9,53",4,107,81,6,94,3,56,0,33
17,tatrzański,181,68 072,"26,59 / 23,80",0,19,162,2,125,4,0,0,50
18,wadowicki,185,160 006,"11,56",3,51,131,0,134,5,0,0,46
19,wielicki,199,129 136,"15,41",5,126,67,1,173,9,0,0,16
20,m. Kraków,841,779 115,"10,79",19,330,492,27,205,110,0,0,499
21,m. Nowy Sącz,295,83 794,"35,21 / 27,57",4,60,231,3,291,1,0,0,0
22,m. Tarnów,51,108 470,"4,70",0,16,35,8,14,3,0,0,26
"RazemMałopolska",5 073,3 410 901,"14,87",86,1 979,2 998,76,3 022,313,296,2,1 364,
