Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 30.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,339,106 858,"31,72 / 16,75",11,147,179,3,80,12,222,0,22
2,brzeski,73,93 201,"7,83",2,64,5,3,5,49,0,2,14
3,chrzanowski,43,124 536,"3,45",0,33,10,1,18,0,0,0,24
4,dąbrowski,20,59 174,"3,38",0,12,8,2,17,1,0,0,0
5,gorlicki,41,108 886,"3,77",0,9,32,1,33,1,0,0,6
6,krakowski,107,279 239,"3,83",2,83,22,4,45,19,0,0,39
7,limanowski,213,131 764,"16,17",6,116,91,0,126,25,0,0,62
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,189,127 600,"14,81",0,154,35,0,103,18,0,0,68
10,nowosądecki,611,216 796,"28,18 / 23,39",2,102,507,7,604,0,0,0,0
11,nowotarski,67,191 782,"3,49",0,13,54,2,38,1,0,0,26
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,212,153 486,"13,81",4,91,117,2,102,14,0,0,94
14,proszowicki,17,43 222,"3,93",2,9,6,0,2,5,1,0,9
15,suski,226,84 232,"26,83",0,186,40,0,138,2,0,0,86
16,tarnowski,160,201 497,"7,94",3,97,60,6,85,2,46,0,21
17,tatrzański,129,68 072,"18,95 / 18,07",0,6,123,2,94,1,0,0,32
18,wadowicki,156,160 006,"9,75",3,30,123,0,116,4,0,0,36
19,wielicki,146,129 136,"11,31",5,121,19,1,131,9,0,0,5
20,m. Kraków,474,779 115,"6,08",19,311,144,27,145,100,0,0,202
21,m. Nowy Sącz,177,83 794,"21,12 / 15,63",2,44,131,3,173,1,0,0,0
22,m. Tarnów,24,108 470,"2,21",0,16,8,8,3,3,0,0,10
"RazemMałopolska",3 458,3 410 901,"10,14",61,1 668,1 724,73,2 069,272,269,2,773,
