Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 14.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,392,106 858,"36,68 / 18,90",23,160,202,3,95,13,240,0,41
2,brzeski,94,93 201,"10,09",2,68,22,3,13,49,0,2,27
3,chrzanowski,55,124 536,"4,42",0,36,19,1,25,1,0,0,28
4,dąbrowski,32,59 174,"5,41",0,17,15,2,29,1,0,0,0
5,gorlicki,90,108 886,"8,27",1,16,73,2,62,5,0,0,21
6,krakowski,170,279 239,"6,09",2,90,78,4,68,19,0,0,79
7,limanowski,340,131 764,"25,80 / 13,96",7,149,184,0,227,25,0,0,88
8,miechowski,21,48 818,"4,30",0,15,6,0,11,0,0,0,10
9,myślenicki,224,127 600,"17,55",0,171,53,0,125,19,0,0,80
10,nowosądecki,963,216 796,"44,42 / 33,67",6,227,730,7,956,0,0,0,0
11,nowotarski,256,191 782,"13,35 / 12,20",1,21,234,2,133,26,0,0,95
12,olkuski,33,111 217,"2,97",0,15,18,3,0,7,0,0,23
13,oświęcimski,297,153 486,"19,35 / 11,66",6,112,179,2,148,15,0,0,132
14,proszowicki,24,43 222,"5,55",2,12,10,0,4,7,2,0,11
15,suski,241,84 232,"28,61",1,194,46,0,149,2,0,0,90
16,tarnowski,202,201 497,"10,02",5,110,87,6,99,3,56,0,38
17,tatrzański,192,68 072,"28,21 / 25,41",0,19,173,2,130,5,0,0,55
18,wadowicki,189,160 006,"11,81",4,55,130,0,138,5,0,0,46
19,wielicki,203,129 136,"15,72",5,126,71,1,174,9,0,0,19
20,m. Kraków,882,779 115,"11,32",19,334,529,27,210,110,0,0,535
21,m. Nowy Sącz,305,83 794,"36,40 / 28,76",4,60,241,3,301,1,0,0,0
22,m. Tarnów,52,108 470,"4,79",0,16,36,8,15,3,0,0,26
"RazemMałopolska",5 257,3 410 901,"15,41",88,2 023,3 136,76,3 112,325,298,2,1 444,
