"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 9.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,555,"51,94",30,443,74,3,141,24,240,0,12,23,0,0,31,0,0,81
"",2,brzeski,218,"23,39",2,156,58,3,37,64,13,2,2,0,0,0,0,21,0,76
"",3,chrzanowski,253,"20,32 / 11,16",5,109,139,1,40,25,25,2,16,0,0,0,8,0,0,136
"",4,dąbrowski,88,"14,87",1,57,30,2,44,4,0,0,1,0,0,0,0,0,0,37
"",5,gorlicki,211,"19,38",2,155,54,2,94,10,0,0,0,10,0,0,13,0,0,82
"",6,krakowski,768,"27,50",6,651,111,6,182,46,15,0,12,4,0,0,2,4,0,497
"",7,limanowski,960,"72,86 / 18,37",10,707,242,0,368,32,38,0,0,12,0,0,0,0,1,509
"",8,miechowski,150,"30,73 / 14,34",1,79,70,0,44,0,0,0,5,0,0,0,0,0,0,101
"",9,myślenicki,881,"69,04 / 25,39",2,555,324,0,247,29,24,0,76,16,0,0,2,0,0,487
"",10,nowosądecki,1 610,"74,26 / 10,47",28,1 355,227,7,1 005,90,64,1,314,33,0,0,20,0,0,76
"",11,nowotarski,1 235,"64,40 / 24,25",24,743,465,2,401,90,25,8,46,8,0,0,0,0,1,654
"",12,olkuski,255,"22,93",3,150,102,4,15,8,2,1,51,16,0,0,2,0,0,156
"",13,oświęcimski,578,"37,66",13,415,150,2,221,51,5,0,0,0,0,0,0,0,0,299
"",14,proszowicki,94,"21,75",3,60,31,2,8,9,27,0,0,0,0,0,0,0,0,48
"",15,suski,570,"67,67 / 23,74",7,363,200,2,171,11,69,0,71,14,0,0,19,0,0,213
"",16,tarnowski,381,"18,91",9,291,80,6,177,14,56,0,0,0,0,0,0,0,0,128
"",17,tatrzański,600,"88,14 / 32,32",10,367,220,2,181,58,39,0,40,42,0,0,0,0,0,238
"",18,wadowicki,578,"36,12 / 14,06",11,341,225,0,216,48,53,0,20,16,0,0,0,0,0,225
"",19,wielicki,481,"37,25 / 12,39",7,312,160,1,250,11,0,0,5,2,0,0,0,0,0,212
"",20,m. Kraków,3 136,"40,25",41,2 475,619,33,531,218,90,17,55,13,0,36,34,32,0,2 077
"",21,m. Nowy Sącz,624,"74,47",18,530,76,3,345,37,106,0,119,5,0,0,7,0,0,2
"",22,m. Tarnów,146,"13,46",1,92,53,8,31,8,0,0,0,0,0,0,0,0,0,99
"RazemMałopolska",14 372,"42,14 / 10,88",234,10 406,3 710,89,4 749,887,891,31,845,214,0,36,138,57,2,6 433,,
