Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 04.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,350,106 858,"32,75 / 17,03",17,148,182,3,80,12,228,0,27
2,brzeski,76,93 201,"8,15",2,65,7,3,6,49,0,2,16
3,chrzanowski,50,124 536,"4,01",0,34,16,1,23,0,0,0,26
4,dąbrowski,26,59 174,"4,39",0,16,10,2,23,1,0,0,0
5,gorlicki,53,108 886,"4,87",1,9,43,1,37,2,0,0,13
6,krakowski,123,279 239,"4,40",2,83,38,4,48,19,0,0,52
7,limanowski,233,131 764,"17,68",6,125,102,0,141,25,0,0,67
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,204,127 600,"15,99",0,158,46,0,112,18,0,0,74
10,nowosądecki,731,216 796,"33,72 / 27,58",3,130,598,7,724,0,0,0,0
11,nowotarski,109,191 782,"5,68",0,15,94,2,54,3,0,0,50
12,olkuski,18,111 217,"1,62",0,12,6,3,0,5,0,0,10
13,oświęcimski,238,153 486,"15,51",5,98,135,2,113,14,0,0,109
14,proszowicki,19,43 222,"4,40",2,9,8,,3,6,1,,9
15,suski,229,84 232,"27,19",1,192,36,0,139,2,0,0,88
16,tarnowski,168,201 497,"8,34",3,98,67,6,88,2,46,0,26
17,tatrzański,136,68 072,"19,98 / 18,66",0,9,127,2,99,1,0,0,34
18,wadowicki,162,160 006,"10,12",3,41,118,0,120,4,0,0,38
19,wielicki,165,129 136,"12,78",5,124,35,1,148,9,0,0,7
20,m. Kraków,583,779 115,"7,48",19,314,250,27,151,101,0,0,304
21,m. Nowy Sącz,210,83 794,"25,06 / 19,21",2,47,161,3,206,1,0,0,0
22,m. Tarnów,32,108 470,"2,95",0,16,16,8,7,3,0,0,14
"RazemMałopolska",3 934,3 410 901,"11,53",71,1 755,2 102,75,2 333,277,275,2,972,
