Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 31.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,434,106 858,"40,61 / 14,32",29,245,153,3,123,13,240,0,55
2,brzeski,145,93 201,"15,56",2,68,73,3,31,50,0,2,59
3,chrzanowski,69,124 536,"5,54",0,50,19,1,27,1,0,0,40
4,dąbrowski,44,59 174,"7,44",0,25,19,2,35,1,0,0,6
5,gorlicki,128,108 886,"11,76",2,35,91,2,81,5,0,0,40
6,krakowski,311,279 239,"11,14",3,125,183,6,91,26,0,0,188
7,limanowski,483,131 764,"36,66 / 19,43",7,219,256,0,289,25,0,0,169
8,miechowski,39,48 818,"7,99",0,18,21,0,20,0,0,0,19
9,myślenicki,275,127 600,"21,55",0,225,50,0,148,20,0,0,107
10,nowosądecki,1 207,216 796,"55,67 / 30,26",13,538,656,7,1 200,0,0,0,0
11,nowotarski,544,191 782,"28,37 / 20,60",7,142,395,2,265,69,0,0,208
12,olkuski,58,111 217,"5,22",0,30,28,4,7,8,0,0,39
13,oświęcimski,375,153 486,"24,43",6,218,151,2,199,16,0,0,158
14,proszowicki,33,43 222,"7,64",2,15,16,,6,7,2,,18
15,suski,256,84 232,"30,39",2,217,37,0,151,3,0,0,102
16,tarnowski,271,201 497,"13,45",8,127,136,6,162,3,56,0,44
17,tatrzański,267,68 072,"39,22 / 17,19",2,148,117,2,170,13,0,0,82
18,wadowicki,261,160 006,"16,31",6,141,114,0,166,17,0,0,78
19,wielicki,266,129 136,"20,60",5,142,118,1,215,9,0,0,41
20,m. Kraków,1 480,779 115,"19,00 / 11,40",24,568,888,28,339,121,0,0,992
21,m. Nowy Sącz,479,83 794,"57,16 / 36,88",9,161,309,3,475,1,0,0,0
22,m. Tarnów,63,108 470,"5,81",0,22,41,8,22,3,0,0,30
"RazemMałopolska",7 488,3 410 901,"21,95 / 11,35",127,3 479,3 871,80,4 222,411,298,2,2 475,
