"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 22.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,458,106 858,"42,86",30,401,20,3,126,13,240,0,12,17,0,0,26,0,0,21
"",2,brzeski,165,93 201,"17,70",2,145,16,3,33,50,9,2,1,0,0,0,0,21,0,46
"",3,chrzanowski,107,124 536,"8,59",4,77,26,1,38,5,0,0,16,0,0,0,2,0,0,45
"",4,dąbrowski,53,59 174,"8,96",0,49,4,2,38,1,0,0,0,0,0,0,0,0,0,12
"",5,gorlicki,157,108 886,"14,42",2,143,12,2,84,5,0,0,0,5,0,0,13,0,0,48
"",6,krakowski,520,279 239,"18,62",4,384,132,6,144,33,1,0,5,3,0,0,2,4,0,322
"",7,limanowski,657,131 764,"49,86 / 11,76",8,493,155,0,357,29,2,0,0,3,0,0,0,0,1,265
"",8,miechowski,79,48 818,"16,18",0,57,22,0,26,0,0,0,0,0,0,0,0,0,0,53
"",9,myślenicki,466,127 600,"36,52 / 10,42",0,333,133,0,188,24,0,0,71,4,0,0,2,0,0,177
"",10,nowosądecki,1 364,216 796,"62,92 / 16,05",20,996,348,7,875,47,64,1,277,6,0,0,19,0,0,68
"",11,nowotarski,815,191 782,"42,50 / 13,97",18,527,268,2,351,72,23,0,18,7,0,0,0,0,1,341
"",12,olkuski,132,111 217,"11,87",0,71,61,4,15,8,0,0,41,8,0,0,0,0,0,56
"",13,oświęcimski,418,153 486,"27,23",8,379,31,2,212,17,0,0,0,0,0,0,0,0,0,187
"",14,proszowicki,62,43 222,"14,34",3,38,21,2,8,7,22,0,0,0,0,0,0,0,0,23
"",15,suski,335,84 232,"39,77",3,286,46,2,150,5,0,0,60,2,0,0,19,0,0,97
"",16,tarnowski,297,201 497,"14,74",9,274,13,6,162,3,56,0,0,0,0,0,0,0,0,70
"",17,tatrzański,349,68 072,"51,27",4,282,63,2,175,13,2,0,27,18,0,0,0,0,0,112
"",18,wadowicki,361,160 006,"22,56",7,258,96,0,189,28,1,0,9,1,0,0,0,0,0,133
"",19,wielicki,321,129 136,"24,86",6,276,37,1,232,9,0,0,2,0,0,0,0,0,0,77
"",20,m. Kraków,2 007,779 115,"25,76",35,1 661,311,33,478,172,3,0,25,5,0,0,34,32,0,1 225
"",21,m. Nowy Sącz,530,83 794,"63,25 / 15,87",14,383,133,3,292,20,106,0,102,0,0,0,7,0,0,0
"",22,m. Tarnów,87,108 470,"8,02",1,80,6,8,22,4,0,0,0,0,0,0,0,0,0,53
"RazemMałopolska",9 740,3 410 901,"28,56",178,7 593,1 954,89,4 195,565,529,3,666,79,0,0,124,57,2,3 431,,
