Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 25.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,308,106 858,"28,82 / 14,79",4,144,158,3,79,12,192,0,22
2,brzeski,71,93 201,"7,62",2,64,3,3,5,48,0,2,13
3,chrzanowski,38,124 536,"3,05",0,33,5,1,18,0,0,0,19
4,dąbrowski,17,59 174,"2,87",0,11,6,2,14,1,0,0,0
5,gorlicki,28,108 886,"2,57",0,8,20,1,22,1,0,0,4
6,krakowski,101,279 239,"3,62",1,81,19,4,45,19,0,0,33
7,limanowski,204,131 764,"15,48",5,111,88,0,124,25,0,0,55
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,166,127 600,"13,01",0,153,13,0,86,18,0,0,62
10,nowosądecki,483,216 796,"22,28 / 19,19",1,66,416,7,476,0,0,0,0
11,nowotarski,49,191 782,"2,55",0,12,37,2,27,1,0,0,19
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,174,153 486,"11,34",4,89,81,2,78,14,0,0,80
14,proszowicki,17,43 222,"3,93",2,9,6,0,2,5,1,0,9
15,suski,216,84 232,"25,64",0,182,34,0,131,2,0,0,83
16,tarnowski,124,201 497,"6,15",3,87,34,6,85,2,23,0,8
17,tatrzański,71,68 072,"10,43",0,6,65,2,46,1,0,0,22
18,wadowicki,136,160 006,"8,50",3,29,104,0,98,4,0,0,34
19,wielicki,139,129 136,"10,76",5,121,12,1,129,9,0,0,0
20,m. Kraków,434,779 115,"5,57",19,309,106,27,133,100,0,0,174
21,m. Nowy Sącz,132,83 794,"15,75 / 10,98",1,39,92,3,128,1,0,0,0
22,m. Tarnów,20,108 470,"1,84",0,15,5,8,3,3,0,0,6
"RazemMałopolska",2 962,3 410 901,"8,68",50,1 593,1 314,73,1 740,271,216,2,660,
