Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 30.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,434,106 858,"40,61 / 14,32",29,245,153,3,123,13,240,0,55
2,brzeski,143,93 201,"15,34",2,68,71,3,29,50,0,2,59
3,chrzanowski,68,124 536,"5,46",0,50,18,1,27,1,0,0,39
4,dąbrowski,44,59 174,"7,44",0,24,20,2,35,1,0,0,6
5,gorlicki,128,108 886,"11,76",2,35,91,2,81,5,0,0,40
6,krakowski,303,279 239,"10,85",3,123,177,5,90,24,0,0,184
7,limanowski,483,131 764,"36,66 / 19,50",7,219,257,0,289,25,0,0,169
8,miechowski,37,48 818,"7,58",0,18,19,0,18,0,0,0,19
9,myślenicki,274,127 600,"21,47",0,225,49,0,147,20,0,0,107
10,nowosądecki,1 190,216 796,"54,89 / 32,15",13,480,697,7,1 183,0,0,0,0
11,nowotarski,538,191 782,"28,05 / 20,60",7,136,395,2,263,68,0,0,205
12,olkuski,58,111 217,"5,22",0,26,32,4,7,8,0,0,39
13,oświęcimski,365,153 486,"23,78",6,216,143,2,188,16,0,0,159
14,proszowicki,33,43 222,"7,64",2,15,16,,6,7,2,,18
15,suski,255,84 232,"30,27",2,217,36,0,150,3,0,0,102
16,tarnowski,271,201 497,"13,45",8,127,136,6,162,3,56,0,44
17,tatrzański,262,68 072,"38,49 / 16,45",2,148,112,2,166,13,0,0,81
18,wadowicki,259,160 006,"16,19",6,141,112,0,166,16,0,0,77
19,wielicki,266,129 136,"20,60",5,139,121,1,215,9,0,0,41
20,m. Kraków,1 459,779 115,"18,73 / 11,18",24,564,871,28,337,119,0,0,975
21,m. Nowy Sącz,476,83 794,"56,81 / 39,50",9,136,331,3,472,1,0,0,0
22,m. Tarnów,63,108 470,"5,81",0,22,41,8,22,3,0,0,30
"RazemMałopolska",7 409,3 410 901,"21,72 / 11,43",127,3 374,3 898,79,4 176,405,298,2,2 449,
