Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 12.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,386,106 858,"36,12 / 18,72",23,156,200,3,94,12,238,0,39
2,brzeski,91,93 201,"9,76",2,67,20,3,12,49,0,2,25
3,chrzanowski,55,124 536,"4,42",0,36,19,1,25,1,,,28
4,dąbrowski,31,59 174,"5,24",0,17,14,2,28,1,0,0,0
5,gorlicki,86,108 886,"7,90",1,14,71,2,59,5,0,0,20
6,krakowski,151,279 239,"5,41",2,87,62,4,56,19,0,0,72
7,limanowski,301,131 764,"22,84 / 11,54",7,142,152,0,194,25,0,0,82
8,miechowski,21,48 818,"4,30",0,15,6,0,11,0,0,0,10
9,myślenicki,219,127 600,"17,16",0,165,54,0,120,19,0,0,80
10,nowosądecki,918,216 796,"42,34 / 32,33",4,213,701,7,911,0,0,0,0
11,nowotarski,215,191 782,"11,21 / 10,06",1,21,193,2,121,13,0,0,79
12,olkuski,28,111 217,"2,52",0,14,14,3,0,7,0,0,18
13,oświęcimski,277,153 486,"18,05 / 10,55",6,109,162,2,133,14,0,0,128
14,proszowicki,21,43 222,"4,86",2,12,7,0,3,6,2,,10
15,suski,237,84 232,"28,14",1,193,43,0,147,2,0,0,88
16,tarnowski,192,201 497,"9,53",4,103,85,6,94,3,56,0,33
17,tatrzański,178,68 072,"26,15 / 24,83",0,9,169,2,125,4,0,0,47
18,wadowicki,183,160 006,"11,44",3,51,129,0,133,5,0,0,45
19,wielicki,197,129 136,"15,26",5,125,66,1,172,9,0,0,15
20,m. Kraków,808,779 115,"10,37",19,327,462,27,193,110,0,0,478
21,m. Nowy Sącz,291,83 794,"34,73 / 27,21",3,60,228,3,287,1,0,0,0
22,m. Tarnów,51,108 470,"4,70",0,16,35,8,14,3,0,0,26
"RazemMałopolska",4 937,3 410 901,"14,47",83,1 952,2 892,76,2 932,308,296,2,1 323,
