Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 15.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,154,106 858,"14,41",3,142,7,2,65,12,54,0,21
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,38,124 536,"3,05",0,32,6,1,19,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,15,108 886,"1,38",0,7,8,1,10,1,0,0,3
6,krakowski,95,279 239,"3,40",1,77,17,4,40,19,0,0,32
7,limanowski,174,131 764,"13,21",5,105,64,0,100,25,0,0,49
8,miechowski,14,48 818,"2,87",0,12,2,0,7,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,151,8,0,86,18,0,0,55
10,nowosądecki,271,216 796,"12,50 / 10,93",0,34,237,7,264,0,0,0,0
11,nowotarski,25,191 782,"1,30",0,12,13,2,11,1,0,0,11
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,113,153 486,"7,36",4,78,31,2,50,13,0,0,48
14,proszowicki,11,43 222,"2,55",2,7,2,0,0,5,0,0,6
15,suski,199,84 232,"23,63",0,152,47,0,120,0,0,0,79
16,tarnowski,116,201 497,"5,76",3,63,50,3,85,2,22,0,4
17,tatrzański,40,68 072,"5,88",0,5,35,2,24,1,0,0,13
18,wadowicki,61,160 006,"3,81",3,24,34,0,35,4,0,0,22
19,wielicki,131,129 136,"10,14",5,118,7,1,121,9,0,0,0
20,m. Kraków,368,779 115,"4,72",19,271,78,24,112,99,0,0,133
21,m. Nowy Sącz,75,83 794,"8,95",0,28,47,3,71,1,0,0,0
22,m. Tarnów,15,108 470,"1,38",0,14,1,8,3,2,0,0,2
"RazemMałopolska",2 173,3 410 901,"6,37",47,1 419,702,65,1 240,266,76,2,524,
