Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 29.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,338,106 858,"31,63 / 16,94",8,147,181,3,80,12,221,0,22
2,brzeski,72,93 201,"7,73",2,64,4,3,5,48,0,2,14
3,chrzanowski,40,124 536,"3,21",0,33,7,1,18,0,0,0,21
4,dąbrowski,20,59 174,"3,38",0,12,8,2,17,1,0,0,0
5,gorlicki,37,108 886,"3,40",0,9,28,1,29,1,0,0,6
6,krakowski,104,279 239,"3,72",1,81,22,4,45,19,0,0,36
7,limanowski,213,131 764,"16,17",5,116,92,0,126,25,0,0,62
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,185,127 600,"14,50",0,154,31,0,102,18,0,0,65
10,nowosądecki,562,216 796,"25,92 / 21,31",1,99,462,7,555,0,0,0,0
11,nowotarski,62,191 782,"3,23",0,13,49,2,35,1,0,0,24
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,203,153 486,"13,23",4,91,108,2,98,14,0,0,89
14,proszowicki,17,43 222,"3,93",2,9,6,0,2,5,1,0,9
15,suski,223,84 232,"26,47",0,185,38,0,135,2,0,0,86
16,tarnowski,154,201 497,"7,64",3,97,54,6,85,2,46,0,15
17,tatrzański,122,68 072,"17,92 / 17,04",0,6,116,2,91,1,0,0,28
18,wadowicki,147,160 006,"9,19",3,30,114,0,108,4,0,0,35
19,wielicki,145,129 136,"11,23",5,121,18,1,131,9,0,0,4
20,m. Kraków,465,779 115,"5,97",19,309,137,27,143,100,0,0,195
21,m. Nowy Sącz,159,83 794,"18,98 / 13,60",1,44,114,3,155,1,0,0,0
22,m. Tarnów,23,108 470,"2,12",0,15,8,8,3,3,0,0,9
"RazemMałopolska",3 325,3 410 901,"9,75",54,1 659,1 607,73,1 974,271,268,2,737,
