Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 5.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,355,106 858,"33,22 / 17,41",18,148,186,3,80,12,228,0,32
2,brzeski,76,93 201,"8,15",2,65,7,3,6,49,0,2,16
3,chrzanowski,52,124 536,"4,18",0,34,18,1,25,0,0,0,26
4,dąbrowski,27,59 174,"4,56",0,16,11,2,24,1,0,0,0
5,gorlicki,56,108 886,"5,14",1,9,46,2,39,2,0,0,13
6,krakowski,126,279 239,"4,51",2,83,41,4,48,19,0,0,55
7,limanowski,236,131 764,"17,91",7,126,103,0,141,25,0,0,70
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,206,127 600,"16,14",0,158,48,0,113,19,0,0,74
10,nowosądecki,754,216 796,"34,78 / 28,14",3,141,610,7,747,0,0,0,0
11,nowotarski,111,191 782,"5,79",0,17,94,2,54,3,0,0,52
12,olkuski,20,111 217,"1,80",0,12,8,3,0,5,0,0,12
13,oświęcimski,241,153 486,"15,70",5,98,138,2,115,14,0,0,110
14,proszowicki,19,43 222,"4,40",2,9,8,0,3,6,1,0,9
15,suski,229,84 232,"27,19",1,192,36,0,139,2,0,0,88
16,tarnowski,168,201 497,"8,34",3,98,67,6,88,2,46,0,26
17,tatrzański,136,68 072,"19,98 / 18,66",0,9,127,2,99,1,0,0,34
18,wadowicki,162,160 006,"10,12",3,41,118,0,120,4,0,0,38
19,wielicki,170,129 136,"13,16",5,124,40,1,150,9,0,0,10
20,m. Kraków,605,779 115,"7,77",19,314,272,27,154,101,0,0,323
21,m. Nowy Sącz,220,83 794,"26,25 / 20,05",3,49,168,3,216,1,0,0,0
22,m. Tarnów,36,108 470,"3,32",0,16,20,8,3,3,0,0,22
"RazemMałopolska",4 024,3 410 901,"11,80",74,1 771,2 173,76,2 375,278,275,2,1 018,
