"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 27.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,476,106 858,"44,55",30,403,36,3,128,13,240,0,12,18,0,0,31,0,0,31
"",2,brzeski,168,93 201,"18,03",2,148,16,3,33,50,11,2,1,0,0,0,0,21,0,47
"",3,chrzanowski,126,124 536,"10,12",4,84,38,1,39,7,0,0,16,0,0,0,7,0,0,56
"",4,dąbrowski,60,59 174,"10,14",0,49,11,2,38,1,0,0,0,0,0,0,0,0,0,19
"",5,gorlicki,161,108 886,"14,79",2,146,13,2,84,7,0,0,0,5,0,0,13,0,0,50
"",6,krakowski,596,279 239,"21,34",5,471,120,6,165,39,1,0,5,4,0,0,2,4,0,370
"",7,limanowski,737,131 764,"55,93 / 17,23",9,500,227,0,365,29,26,0,0,8,0,0,0,0,1,308
"",8,miechowski,96,48 818,"19,66",0,62,34,0,29,0,0,0,0,0,0,0,0,0,0,67
"",9,myślenicki,556,127 600,"43,57 / 14,03",0,377,179,0,204,25,5,0,72,6,0,0,2,0,0,242
"",10,nowosądecki,1 417,216 796,"65,36",22,1 203,192,7,903,55,64,1,283,15,0,0,20,0,0,69
"",11,nowotarski,931,191 782,"48,54 / 16,79",19,588,322,2,368,74,23,0,23,7,0,0,0,0,1,433
"",12,olkuski,157,111 217,"14,12",0,96,61,4,15,8,0,0,49,11,0,0,0,0,0,70
"",13,oświęcimski,445,153 486,"28,99",8,391,46,2,216,17,0,0,0,0,0,0,0,0,0,210
"",14,proszowicki,70,43 222,"16,20",3,44,23,2,8,8,26,0,0,0,0,0,0,0,0,26
"",15,suski,361,84 232,"42,86",3,300,58,2,159,5,0,0,60,3,0,0,19,0,0,113
"",16,tarnowski,308,201 497,"15,29",9,274,24,6,162,3,56,0,0,0,0,0,0,0,0,81
"",17,tatrzański,424,68 072,"62,29 / 17,04",6,302,116,2,177,32,23,0,28,24,0,0,0,0,0,138
"",18,wadowicki,414,160 006,"25,87",7,280,127,0,190,32,13,0,14,1,0,0,0,0,0,164
"",19,wielicki,350,129 136,"27,10",6,296,46,1,232,9,0,0,2,0,0,0,0,0,0,106
"",20,m. Kraków,2 223,779 115,"28,53",37,1 759,427,33,497,194,3,4,42,6,0,0,34,32,0,1 378
"",21,m. Nowy Sącz,543,83 794,"64,80",16,449,78,3,296,24,106,0,105,2,0,0,7,0,0,0
"",22,m. Tarnów,91,108 470,"8,39",1,81,9,8,22,4,0,0,0,0,0,0,0,0,0,57
"RazemMałopolska",10 710,3 410 901,"31,40",189,8 303,2 203,89,4 330,636,597,7,712,110,0,0,135,57,2,4 035,,
