Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 9.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,358,106 858,"33,50 / 16,75",22,150,179,3,80,12,229,0,34
2,brzeski,85,93 201,"9,12",2,66,15,3,12,49,0,2,19
3,chrzanowski,54,124 536,"4,34",0,36,18,1,25,1,,,27
4,dąbrowski,31,59 174,"5,24",0,16,15,2,28,1,0,0,0
5,gorlicki,73,108 886,"6,70",1,14,58,2,51,5,0,0,15
6,krakowski,146,279 239,"5,23",2,86,58,4,55,19,0,0,68
7,limanowski,283,131 764,"21,48 / 10,78",7,134,142,0,176,25,0,0,82
8,miechowski,21,48 818,"4,30",0,13,8,0,11,0,0,0,10
9,myślenicki,214,127 600,"16,77",0,162,52,0,119,19,0,0,76
10,nowosądecki,825,216 796,"38,05 / 30,40",3,163,659,7,818,0,0,0,0
11,nowotarski,161,191 782,"8,39",1,18,142,2,79,8,0,0,72
12,olkuski,24,111 217,"2,16",0,14,10,3,0,5,0,0,16
13,oświęcimski,264,153 486,"17,20 / 10,10",6,103,155,2,124,14,0,0,124
14,proszowicki,20,43 222,"4,63",2,9,9,0,3,6,1,,10
15,suski,234,84 232,"27,78",1,192,41,0,144,2,0,0,88
16,tarnowski,186,201 497,"9,23",4,98,84,6,90,3,56,0,31
17,tatrzański,167,68 072,"24,53 / 23,21",0,9,158,2,116,4,0,0,45
18,wadowicki,179,160 006,"11,19",3,47,129,0,131,5,0,0,43
19,wielicki,180,129 136,"13,94",5,124,50,1,157,9,0,0,13
20,m. Kraków,714,779 115,"9,16",19,316,379,27,172,104,0,0,411
21,m. Nowy Sącz,254,83 794,"30,31 / 23,51",3,54,197,3,250,1,0,0,0
22,m. Tarnów,45,108 470,"4,15",0,16,29,8,9,3,0,0,25
"RazemMałopolska",4 518,3 410 901,"13,25",81,1 840,2 587,76,2 650,295,286,2,1 209,
