Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 19.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,398,106 858,"37,25 / 18,62",24,168,199,3,96,13,240,0,46
2,brzeski,102,93 201,"10,94",2,68,30,3,17,49,0,2,31
3,chrzanowski,56,124 536,"4,50",0,41,15,1,25,1,0,0,29
4,dąbrowski,34,59 174,"5,75",0,17,17,2,31,1,0,0,0
5,gorlicki,101,108 886,"9,28",2,18,81,2,69,5,0,0,25
6,krakowski,200,279 239,"7,16",3,90,107,4,73,21,0,0,102
7,limanowski,367,131 764,"27,85 / 15,33",7,158,202,0,238,25,0,0,104
8,miechowski,23,48 818,"4,71",0,15,8,0,12,0,0,0,11
9,myślenicki,240,127 600,"18,81",0,182,58,0,130,20,0,0,90
10,nowosądecki,1 038,216 796,"47,88 / 35,33",6,266,766,7,1 031,0,0,0,0
11,nowotarski,339,191 782,"17,68 / 15,38",3,41,295,2,167,34,0,0,136
12,olkuski,36,111 217,"3,24",0,16,20,3,0,7,0,0,26
13,oświęcimski,306,153 486,"19,94 / 11,53",6,123,177,2,157,15,0,0,132
14,proszowicki,26,43 222,"6,02",2,12,12,0,5,7,2,0,12
15,suski,246,84 232,"29,21",2,202,42,0,149,2,0,0,95
16,tarnowski,223,201 497,"11,07",5,111,107,6,116,3,56,0,42
17,tatrzański,220,68 072,"32,32 / 25,56",2,44,174,2,152,7,0,0,59
18,wadowicki,196,160 006,"12,25",4,78,114,0,144,5,0,0,47
19,wielicki,224,129 136,"17,35",5,127,91,1,192,9,0,0,22
20,m. Kraków,1 070,779 115,"13,73",22,351,697,28,252,111,0,0,679
21,m. Nowy Sącz,338,83 794,"40,34 / 31,51",7,67,264,3,334,1,0,0,0
22,m. Tarnów,55,108 470,"5,07",0,17,38,8,17,3,0,0,27
"RazemMałopolska",5 838,3 410 901,"17,12 / 10,30",102,2 212,3 514,77,3 407,339,298,2,1 715,
